"","8_係数","8_Holm","9_係数","9_Holm"
"議員選挙年_北海道","-0.0836*** (0.0212)","0.0013***","0.0210 (0.0297)","1.0000"
"議員選挙年_東北","0.0133 (0.0180)","1.0000","-0.0206 (0.0157)","1.0000"
"議員選挙年_関東","-0.0289** (0.0120)","0.2197","-0.0100 (0.0135)","1.0000"
"議員選挙年_中部","0.0210 (0.0131)","1.0000","0.0069 (0.0139)","1.0000"
"議員選挙年_近畿","0.0000 (0.0145)","1.0000","-0.0013 (0.0146)","1.0000"
"議員選挙年_中国","-0.0473*** (0.0180)","0.1268","-0.0428** (0.0180)","0.2782"
"議員選挙年_四国","-0.0193 (0.0296)","1.0000","-0.0221 (0.0291)","1.0000"
"議員選挙年_九州","-0.0027 (0.0152)","1.0000","-0.0024 (0.0154)","1.0000"
"首長選挙年_北海道","-0.0166 (0.0188)","1.0000","-0.0232 (0.0178)","1.0000"
"首長選挙年_東北","-0.0016 (0.0162)","1.0000","0.0037 (0.0168)","1.0000"
"首長選挙年_関東","0.0080 (0.0101)","1.0000","0.0043 (0.0100)","1.0000"
"首長選挙年_中部","0.0107 (0.0124)","1.0000","0.0165 (0.0123)","1.0000"
"首長選挙年_近畿","-0.0014 (0.0165)","1.0000","-0.0024 (0.0171)","1.0000"
"首長選挙年_中国","0.0487** (0.0209)","0.2601","0.0415** (0.0201)","0.5914"
"首長選挙年_四国","0.0231 (0.0261)","1.0000","0.0266 (0.0277)","1.0000"
"首長選挙年_九州","-0.0028 (0.0130)","1.0000","-0.0017 (0.0131)","1.0000"
