"","指標","議員のみ","首長のみ","両方","選挙年ダミー"
"factor(議員経過年度)1","logit係数","0.0092 (0.0072)","","0.0106 (0.0074)",""
"factor(議員経過年度)2","logit係数","0.0072 (0.0073)","","0.0092 (0.0076)",""
"factor(議員経過年度)3","logit係数","0.0132* (0.0075)","","0.0148* (0.0077)",""
"議会高齢化ギャップ","logit係数","0.0258 (0.0522)","0.0130 (0.0500)","0.0261 (0.0522)","0.0230 (0.0511)"
"議会女性ギャップ","logit係数","0.0884 (0.1031)","0.0701 (0.1018)","0.0880 (0.1032)","0.0856 (0.1028)"
"議員新人割合","logit係数","-0.0301 (0.0430)","-0.0334 (0.0430)","-0.0300 (0.0431)","-0.0307 (0.0430)"
"首長X65歳以上割合","logit係数","0.0247** (0.0117)","0.0245** (0.0117)","0.0243** (0.0117)","0.0245** (0.0117)"
"首長新人割合","logit係数","0.0010 (0.0091)","0.0009 (0.0091)","0.0009 (0.0091)","0.0009 (0.0091)"
"首長女性割合","logit係数","0.0010 (0.0254)","-0.0004 (0.0254)","-0.0004 (0.0255)","-0.0005 (0.0254)"
"地域女性割合","logit係数","3.7588 (2.3609)","3.7205 (2.3605)","3.7552 (2.3618)","3.7491 (2.3611)"
"経常収支比率.市町村財政.","logit係数","-0.0011 (0.0013)","-0.0011 (0.0013)","-0.0011 (0.0013)","-0.0011 (0.0013)"
"児童生徒割合","logit係数","3.1360* (1.8456)","3.1709* (1.8466)","3.1367* (1.8454)","3.1391* (1.8454)"
"factor(首長経過年度)1","logit係数","","-0.0018 (0.0062)","-0.0032 (0.0064)",""
"factor(首長経過年度)2","logit係数","","-0.0044 (0.0069)","-0.0058 (0.0071)",""
"factor(首長経過年度)3","logit係数","","-0.0037 (0.0066)","-0.0066 (0.0068)",""
"議員選挙年","logit係数","","","","-0.0110* (0.0062)"
"首長選挙年","logit係数","","","","0.0054 (0.0055)"
"factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","0.0859 (0.0671)","","0.0990 (0.0694)",""
"factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","0.0676 (0.0685)","","0.0859 (0.0706)",""
"factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","0.1240* (0.0701)","","0.1386* (0.0723)",""
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.2438 (0.4873)","0.1224 (0.4674)","0.2463 (0.4873)","0.2170 (0.4775)"
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8551 (0.9633)","0.6735 (0.9508)","0.8507 (0.9639)","0.8273 (0.9598)"
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2780 (0.4019)","-0.3075 (0.4013)","-0.2764 (0.4024)","-0.2832 (0.4017)"
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2330** (0.1090)","0.2314** (0.1091)","0.2294** (0.1090)","0.2308** (0.1091)"
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0096 (0.0848)","0.0083 (0.0848)","0.0083 (0.0849)","0.0088 (0.0848)"
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.0095 (0.2372)","-0.0040 (0.2377)","-0.0038 (0.2378)","-0.0047 (0.2376)"
"地域女性割合","教育費シェア%pt (評価点 0.1043)","72.8878 (22.0492)","72.3487 (22.0454)","72.8373 (22.0575)","72.7525 (22.0507)"
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0102 (0.0122)","-0.0100 (0.0123)","-0.0100 (0.0123)","-0.0101 (0.0123)"
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","62.3891* (17.2366)","63.0740* (17.2464)","62.4021* (17.2349)","62.4510* (17.2349)"
"factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","-0.0170 (0.0578)","-0.0297 (0.0602)",""
"factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","-0.0413 (0.0645)","-0.0545 (0.0661)",""
"factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","-0.0350 (0.0614)","-0.0613 (0.0634)",""
"議員選挙年","教育費シェア%pt (評価点 0.1043)","","","","-0.1020* (0.0583)"
"首長選挙年","教育費シェア%pt (評価点 0.1043)","","","","0.0506 (0.0509)"
"factor(議員経過年度)1","補正前p値","0.2023","","0.1559",""
"factor(議員経過年度)2","補正前p値","0.3251","","0.2256",""
"factor(議員経過年度)3","補正前p値","0.0786*","","0.0567*",""
"議会高齢化ギャップ","補正前p値","","","",""
"議会女性ギャップ","補正前p値","","","",""
"議員新人割合","補正前p値","","","",""
"首長X65歳以上割合","補正前p値","","","",""
"首長新人割合","補正前p値","","","",""
"首長女性割合","補正前p値","","","",""
"地域女性割合","補正前p値","","","",""
"経常収支比率.市町村財政.","補正前p値","","","",""
"児童生徒割合","補正前p値","","","",""
"factor(首長経過年度)1","補正前p値","","0.7686","0.6213",""
"factor(首長経過年度)2","補正前p値","","0.5211","0.4089",""
"factor(首長経過年度)3","補正前p値","","0.5684","0.3322",""
"議員選挙年","補正前p値","","","","0.0789*"
"首長選挙年","補正前p値","","","","0.3214"
"factor(議員経過年度)1","Holm補正p値","0.4046","","0.7793",""
"factor(議員経過年度)2","Holm補正p値","0.4046","","0.9024",""
"factor(議員経過年度)3","Holm補正p値","0.2357","","0.3399",""
"議会高齢化ギャップ","Holm補正p値","","","",""
"議会女性ギャップ","Holm補正p値","","","",""
"議員新人割合","Holm補正p値","","","",""
"首長X65歳以上割合","Holm補正p値","","","",""
"首長新人割合","Holm補正p値","","","",""
"首長女性割合","Holm補正p値","","","",""
"地域女性割合","Holm補正p値","","","",""
"経常収支比率.市町村財政.","Holm補正p値","","","",""
"児童生徒割合","Holm補正p値","","","",""
