"","指標","議員のみ","首長のみ","両方"
"児童生徒割合_中央化","logit係数","3.2859* (1.9003)","2.8732 (1.8754)","3.0728 (1.9211)"
"factor(議員経過年度)1","logit係数","0.0108 (0.0071)","","0.0117 (0.0074)"
"factor(議員経過年度)2","logit係数","0.0061 (0.0073)","","0.0075 (0.0075)"
"factor(議員経過年度)3","logit係数","0.0124* (0.0075)","","0.0134* (0.0077)"
"議会高齢化ギャップ","logit係数","0.0302 (0.0522)","0.0203 (0.0500)","0.0305 (0.0522)"
"議会女性ギャップ","logit係数","0.0872 (0.1030)","0.0712 (0.1017)","0.0871 (0.1030)"
"議員新人割合","logit係数","-0.0303 (0.0429)","-0.0327 (0.0429)","-0.0301 (0.0430)"
"首長X65歳以上割合","logit係数","0.0243** (0.0116)","0.0242** (0.0116)","0.0240** (0.0116)"
"首長新人割合","logit係数","0.0014 (0.0090)","0.0014 (0.0090)","0.0014 (0.0090)"
"首長女性割合","logit係数","0.0055 (0.0254)","0.0043 (0.0254)","0.0045 (0.0255)"
"地域女性割合","logit係数","3.3221 (2.3469)","3.2964 (2.3464)","3.3138 (2.3515)"
"経常収支比率.市町村財政.","logit係数","-0.0007 (0.0013)","-0.0008 (0.0013)","-0.0007 (0.0013)"
"政令市_post2017","logit係数","0.6487*** (0.0315)","0.6486*** (0.0314)","0.6481*** (0.0315)"
"児童生徒割合_中央化:factor(議員経過年度)1","logit係数","-0.5095 (0.4425)","","-0.6028 (0.4479)"
"児童生徒割合_中央化:factor(議員経過年度)2","logit係数","-0.3025 (0.4929)","","-0.3971 (0.5013)"
"児童生徒割合_中央化:factor(議員経過年度)3","logit係数","0.1585 (0.5401)","","0.1130 (0.5567)"
"factor(首長経過年度)1","logit係数","","-0.0002 (0.0062)","-0.0018 (0.0064)"
"factor(首長経過年度)2","logit係数","","-0.0035 (0.0069)","-0.0048 (0.0070)"
"factor(首長経過年度)3","logit係数","","-0.0019 (0.0065)","-0.0045 (0.0067)"
"児童生徒割合_中央化:factor(首長経過年度)1","logit係数","","0.2496 (0.4494)","0.3574 (0.4643)"
"児童生徒割合_中央化:factor(首長経過年度)2","logit係数","","0.3164 (0.5358)","0.4597 (0.5322)"
"児童生徒割合_中央化:factor(首長経過年度)3","logit係数","","0.3632 (0.5112)","0.3943 (0.5208)"
"児童生徒割合_中央化","教育費シェア%pt (評価点 0.1043)","65.2529* (17.7471)","56.8894 (17.5150)","61.1209 (17.9416)"
"factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","0.1012 (0.0666)","","0.1095 (0.0688)"
"factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","0.0569 (0.0683)","","0.0705 (0.0702)"
"factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","0.1167* (0.0700)","","0.1254* (0.0721)"
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.2850 (0.4874)","0.1915 (0.4671)","0.2886 (0.4877)"
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8424 (0.9619)","0.6836 (0.9500)","0.8415 (0.9621)"
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2792 (0.4008)","-0.3012 (0.4010)","-0.2775 (0.4015)"
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2292** (0.1084)","0.2286** (0.1084)","0.2266** (0.1084)"
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0134 (0.0840)","0.0132 (0.0840)","0.0130 (0.0840)"
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.0513 (0.2370)","0.0399 (0.2372)","0.0423 (0.2381)"
"地域女性割合","教育費シェア%pt (評価点 0.1043)","65.9127 (21.9183)","65.4456 (21.9138)","65.7629 (21.9612)"
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0068 (0.0122)","-0.0073 (0.0122)","-0.0064 (0.0122)"
"政令市_post2017","教育費シェア%pt (評価点 0.1043)","7.7857*** (0.2938)","7.7849*** (0.2930)","7.7775*** (0.2942)"
"児童生徒割合_中央化:factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","-3.8904 (4.1328)","","-4.4374 (4.1832)"
"児童生徒割合_中央化:factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","-2.5060 (4.6033)","","-3.1692 (4.6815)"
"児童生徒割合_中央化:factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","1.5761 (5.0439)","","1.1038 (5.1988)"
"factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","-0.0020 (0.0575)","-0.0170 (0.0598)"
"factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","-0.0324 (0.0643)","-0.0446 (0.0658)"
"factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","-0.0174 (0.0609)","-0.0418 (0.0626)"
"児童生徒割合_中央化:factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","2.5712 (4.1971)","3.8397 (4.3358)"
"児童生徒割合_中央化:factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","3.3466 (5.0041)","5.1371 (4.9700)"
"児童生徒割合_中央化:factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","3.9115 (4.7740)","4.2977 (4.8637)"
"児童生徒割合_中央化","p値","0.0838*","0.1255","0.1097"
"factor(議員経過年度)1","p値","0.1304","","0.1134"
"factor(議員経過年度)2","p値","0.4060","","0.3168"
"factor(議員経過年度)3","p値","0.0972*","","0.0836*"
"議会高齢化ギャップ","p値","0.5635","0.6842","0.5587"
"議会女性ギャップ","p値","0.3975","0.4842","0.3981"
"議員新人割合","p値","0.4808","0.4467","0.4844"
"首長X65歳以上割合","p値","0.0363**","0.0367**","0.0385**"
"首長新人割合","p値","0.8737","0.8749","0.8775"
"首長女性割合","p値","0.8290","0.8668","0.8592"
"地域女性割合","p値","0.1570","0.1601","0.1588"
"経常収支比率.市町村財政.","p値","0.5765","0.5506","0.5991"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***"
"児童生徒割合_中央化:factor(議員経過年度)1","p値","0.2496","","0.1784"
"児童生徒割合_中央化:factor(議員経過年度)2","p値","0.5394","","0.4283"
"児童生徒割合_中央化:factor(議員経過年度)3","p値","0.7691","","0.8391"
"factor(首長経過年度)1","p値","","0.9726","0.7762"
"factor(首長経過年度)2","p値","","0.6132","0.4969"
"factor(首長経過年度)3","p値","","0.7745","0.5034"
"児童生徒割合_中央化:factor(首長経過年度)1","p値","","0.5787","0.4415"
"児童生徒割合_中央化:factor(首長経過年度)2","p値","","0.5548","0.3878"
"児童生徒割合_中央化:factor(首長経過年度)3","p値","","0.4774","0.4490"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度"
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター"
"観測数","モデル情報","10242","10242","10242"
"自治体数","モデル情報","1707","1707","1707"
"年度数","モデル情報","6","6","6"
"決定係数","モデル情報","0.0172","0.0168","0.0174"
"調整済み決定係数","モデル情報","-0.1821","-0.1827","-0.1827"
"F統計量","モデル情報","29.06","29.11","21.30"
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16"
