"","指標","議員のみ","首長のみ","両方"
"factor(議員経過年度)1","logit係数","0.0032 (0.0077)","","0.0039 (0.0079)"
"factor(議員経過年度)2","logit係数","-0.0017 (0.0079)","","-0.0003 (0.0081)"
"factor(議員経過年度)3","logit係数","0.0045 (0.0081)","","0.0053 (0.0083)"
"議員1年_中国","logit係数","0.0322 (0.0254)","","0.0454* (0.0264)"
"議員2年_中国","logit係数","0.0128 (0.0237)","","0.0254 (0.0255)"
"議員3年_中国","logit係数","0.0432* (0.0226)","","0.0533** (0.0239)"
"議会高齢化ギャップ","logit係数","0.0200 (0.0527)","0.0126 (0.0506)","0.0204 (0.0527)"
"議会女性ギャップ","logit係数","0.0875 (0.1026)","0.0784 (0.1015)","0.0857 (0.1027)"
"議員新人割合","logit係数","-0.0263 (0.0429)","-0.0287 (0.0429)","-0.0258 (0.0430)"
"首長X65歳以上割合","logit係数","0.0233** (0.0116)","0.0230** (0.0116)","0.0229** (0.0116)"
"首長新人割合","logit係数","0.0021 (0.0091)","0.0020 (0.0091)","0.0020 (0.0091)"
"首長女性割合","logit係数","-0.0065 (0.0249)","-0.0081 (0.0248)","-0.0070 (0.0249)"
"地域女性割合","logit係数","3.0261 (2.3349)","3.0013 (2.3348)","3.0144 (2.3355)"
"経常収支比率.市町村財政.","logit係数","-0.0009 (0.0013)","-0.0009 (0.0013)","-0.0009 (0.0013)"
"児童生徒割合","logit係数","3.2798* (1.7990)","3.2777* (1.7996)","3.2943* (1.7993)"
"factor(首長経過年度)1","logit係数","","-0.0010 (0.0064)","-0.0017 (0.0066)"
"factor(首長経過年度)2","logit係数","","-0.0047 (0.0071)","-0.0044 (0.0073)"
"factor(首長経過年度)3","logit係数","","-0.0028 (0.0068)","-0.0035 (0.0070)"
"首長1年_中国","logit係数","","-0.0185 (0.0252)","-0.0257 (0.0254)"
"首長2年_中国","logit係数","","-0.0339 (0.0269)","-0.0405 (0.0288)"
"首長3年_中国","logit係数","","-0.0361 (0.0237)","-0.0507** (0.0245)"
"factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","0.0296 (0.0716)","","0.0369 (0.0737)"
"factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","-0.0156 (0.0740)","","-0.0030 (0.0760)"
"factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","0.0419 (0.0752)","","0.0493 (0.0775)"
"議員1年_中国","教育費シェア%pt (評価点 0.1043)","0.3044 (0.2369)","","0.4315* (0.2465)"
"議員2年_中国","教育費シェア%pt (評価点 0.1043)","0.1198 (0.2212)","","0.2392 (0.2380)"
"議員3年_中国","教育費シェア%pt (評価点 0.1043)","0.4100* (0.2106)","","0.5080** (0.2232)"
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.1887 (0.4922)","0.1179 (0.4725)","0.1925 (0.4924)"
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8464 (0.9579)","0.7551 (0.9477)","0.8279 (0.9591)"
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2433 (0.4010)","-0.2653 (0.4002)","-0.2385 (0.4016)"
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2192** (0.1085)","0.2172** (0.1086)","0.2157** (0.1086)"
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0197 (0.0850)","0.0185 (0.0850)","0.0185 (0.0851)"
"首長女性割合","教育費シェア%pt (評価点 0.1043)","-0.0607 (0.2328)","-0.0750 (0.2317)","-0.0648 (0.2329)"
"地域女性割合","教育費シェア%pt (評価点 0.1043)","60.1598 (21.8060)","59.6421 (21.8053)","59.9155 (21.8116)"
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0085 (0.0124)","-0.0082 (0.0124)","-0.0083 (0.0124)"
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","65.1404* (16.8019)","65.1021* (16.8074)","65.4073* (16.8043)"
"factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","-0.0095 (0.0597)","-0.0154 (0.0618)"
"factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","-0.0439 (0.0667)","-0.0414 (0.0680)"
"factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","-0.0263 (0.0637)","-0.0325 (0.0656)"
"首長1年_中国","教育費シェア%pt (評価点 0.1043)","","-0.1713 (0.2352)","-0.2376 (0.2371)"
"首長2年_中国","教育費シェア%pt (評価点 0.1043)","","-0.3126 (0.2512)","-0.3726 (0.2693)"
"首長3年_中国","教育費シェア%pt (評価点 0.1043)","","-0.3324 (0.2215)","-0.4638** (0.2284)"
"factor(議員経過年度)1","補正前p値","","",""
"factor(議員経過年度)2","補正前p値","","",""
"factor(議員経過年度)3","補正前p値","","",""
"議員1年_中国","補正前p値","0.2047","","0.0855*"
"議員2年_中国","補正前p値","0.5900","","0.3198"
"議員3年_中国","補正前p値","0.0557*","","0.0259**"
"議会高齢化ギャップ","補正前p値","","",""
"議会女性ギャップ","補正前p値","","",""
"議員新人割合","補正前p値","","",""
"首長X65歳以上割合","補正前p値","","",""
"首長新人割合","補正前p値","","",""
"首長女性割合","補正前p値","","",""
"地域女性割合","補正前p値","","",""
"経常収支比率.市町村財政.","補正前p値","","",""
"児童生徒割合","補正前p値","","",""
"factor(首長経過年度)1","補正前p値","","",""
"factor(首長経過年度)2","補正前p値","","",""
"factor(首長経過年度)3","補正前p値","","",""
"首長1年_中国","補正前p値","","0.4632","0.3114"
"首長2年_中国","補正前p値","","0.2073","0.1598"
"首長3年_中国","補正前p値","","0.1280","0.0383**"
"factor(議員経過年度)1","Holm補正p値","","",""
"factor(議員経過年度)2","Holm補正p値","","",""
"factor(議員経過年度)3","Holm補正p値","","",""
"議員1年_中国","Holm補正p値","0.4093","","0.3421"
"議員2年_中国","Holm補正p値","0.5900","","0.6228"
"議員3年_中国","Holm補正p値","0.1671","","0.1551"
"議会高齢化ギャップ","Holm補正p値","","",""
"議会女性ギャップ","Holm補正p値","","",""
"議員新人割合","Holm補正p値","","",""
"首長X65歳以上割合","Holm補正p値","","",""
"首長新人割合","Holm補正p値","","",""
"首長女性割合","Holm補正p値","","",""
"地域女性割合","Holm補正p値","","",""
"経常収支比率.市町村財政.","Holm補正p値","","",""
"児童生徒割合","Holm補正p値","","",""
"factor(首長経過年度)1","Holm補正p値","","",""
"factor(首長経過年度)2","Holm補正p値","","",""
"factor(首長経過年度)3","Holm補正p値","","",""
"首長1年_中国","Holm補正p値","","0.4632","0.6228"
"首長2年_中国","Holm補正p値","","0.4146","0.4793"
"首長3年_中国","Holm補正p値","","0.3839","0.1917"
"固定効果","モデル情報","自治体","自治体","自治体"
"地域年度ダミー","モデル情報","あり","あり","あり"
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター"
"観測数","モデル情報","10242","10242","10242"
"自治体数","モデル情報","1707","1707","1707"
"年度数","モデル情報","6","6","6"
"決定係数","モデル情報","0.0730","0.0728","0.0735"
"調整済み決定係数","モデル情報","-0.1195","-0.1197","-0.1197"
"F統計量","モデル情報","15.20","15.03","13.69"
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16"
