"","指標","議員のみ","首長のみ","両方"
"経常収支比率.市町村財政._中央化","logit係数","0.0002 (0.0015)","-0.0002 (0.0015)","0.0007 (0.0016)"
"factor(議員経過年度)1","logit係数","0.0114 (0.0072)","","0.0124* (0.0075)"
"factor(議員経過年度)2","logit係数","0.0070 (0.0074)","","0.0085 (0.0076)"
"factor(議員経過年度)3","logit係数","0.0139* (0.0076)","","0.0149* (0.0078)"
"議会高齢化ギャップ","logit係数","0.0337 (0.0522)","0.0201 (0.0500)","0.0336 (0.0522)"
"議会女性ギャップ","logit係数","0.0862 (0.1033)","0.0711 (0.1020)","0.0865 (0.1036)"
"議員新人割合","logit係数","-0.0305 (0.0429)","-0.0325 (0.0429)","-0.0305 (0.0430)"
"首長X65歳以上割合","logit係数","0.0240** (0.0116)","0.0242** (0.0116)","0.0237** (0.0116)"
"首長新人割合","logit係数","0.0015 (0.0090)","0.0013 (0.0090)","0.0013 (0.0090)"
"首長女性割合","logit係数","0.0036 (0.0253)","0.0037 (0.0253)","0.0021 (0.0253)"
"地域女性割合","logit係数","3.2885 (2.3407)","3.3078 (2.3427)","3.2976 (2.3414)"
"児童生徒割合","logit係数","3.0244 (1.8420)","3.0875* (1.8446)","3.0202 (1.8425)"
"政令市_post2017","logit係数","0.6509*** (0.0317)","0.6458*** (0.0314)","0.6493*** (0.0318)"
"経常収支比率.市町村財政._中央化:factor(議員経過年度)1","logit係数","-0.0008 (0.0011)","","-0.0006 (0.0012)"
"経常収支比率.市町村財政._中央化:factor(議員経過年度)2","logit係数","-0.0009 (0.0012)","","-0.0008 (0.0012)"
"経常収支比率.市町村財政._中央化:factor(議員経過年度)3","logit係数","-0.0024** (0.0011)","","-0.0023** (0.0011)"
"factor(首長経過年度)1","logit係数","","-0.0002 (0.0062)","-0.0021 (0.0064)"
"factor(首長経過年度)2","logit係数","","-0.0035 (0.0069)","-0.0053 (0.0071)"
"factor(首長経過年度)3","logit係数","","-0.0020 (0.0065)","-0.0049 (0.0067)"
"経常収支比率.市町村財政._中央化:factor(首長経過年度)1","logit係数","","-0.0010 (0.0010)","-0.0010 (0.0011)"
"経常収支比率.市町村財政._中央化:factor(首長経過年度)2","logit係数","","-0.0007 (0.0012)","-0.0006 (0.0012)"
"経常収支比率.市町村財政._中央化:factor(首長経過年度)3","logit係数","","-0.0009 (0.0011)","-0.0005 (0.0011)"
"経常収支比率.市町村財政._中央化","教育費シェア%pt (評価点 0.1043)","0.0023 (0.0136)","-0.0016 (0.0138)","0.0062 (0.0145)"
"factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","0.1069 (0.0674)","","0.1162* (0.0697)"
"factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","0.0653 (0.0688)","","0.0794 (0.0709)"
"factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","0.1306* (0.0712)","","0.1403* (0.0732)"
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.3187 (0.4875)","0.1890 (0.4665)","0.3179 (0.4875)"
