"","交差変数","被説明変数","カイ二乗","自由度","p値"
"議員","ln総人口","logit(教育費シェア)","11.8931","3","0.0078"
"首長","ln総人口","logit(教育費シェア)","2.8622","3","0.4134"
"議員・首長","ln総人口","logit(教育費シェア)","20.4102","6","0.0023"
"議員","ln総人口","ln(教育費)","3.8991","3","0.2726"
"首長","ln総人口","ln(教育費)","4.7604","3","0.1902"
"議員・首長","ln総人口","ln(教育費)","9.8546","6","0.1309"
"議員","児童生徒割合","logit(教育費シェア)","2.7325","3","0.4347"
"首長","児童生徒割合","logit(教育費シェア)","0.9807","3","0.8059"
"議員・首長","児童生徒割合","logit(教育費シェア)","3.4134","6","0.7555"
"議員","児童生徒割合","ln(教育費)","1.8601","3","0.6019"
"首長","児童生徒割合","ln(教育費)","2.4291","3","0.4882"
"議員・首長","児童生徒割合","ln(教育費)","4.1734","6","0.6532"
"議員","経常収支比率.市町村財政.","logit(教育費シェア)","4.5302","3","0.2096"
"首長","経常収支比率.市町村財政.","logit(教育費シェア)","0.9471","3","0.8141"
"議員・首長","経常収支比率.市町村財政.","logit(教育費シェア)","5.7641","6","0.4501"
"議員","経常収支比率.市町村財政.","ln(教育費)","4.5965","3","0.2038"
"首長","経常収支比率.市町村財政.","ln(教育費)","1.4378","3","0.6967"
"議員・首長","経常収支比率.市町村財政.","ln(教育費)","6.2187","6","0.3991"
