"","指標","議員のみ","首長のみ","両方"
"児童生徒割合_中央化","ln係数","-5.4318** (2.7113)","-5.4655** (2.7307)","-5.7540** (2.7212)"
"factor(議員経過年度)1","ln係数","0.0134** (0.0067)","","0.0134* (0.0069)"
"factor(議員経過年度)2","ln係数","0.0053 (0.0069)","","0.0043 (0.0071)"
"factor(議員経過年度)3","ln係数","0.0116* (0.0070)","","0.0106 (0.0072)"
"議会高齢化ギャップ","ln係数","0.0133 (0.0450)","0.0081 (0.0431)","0.0137 (0.0451)"
"議会女性ギャップ","ln係数","0.0145 (0.0962)","0.0048 (0.0952)","0.0146 (0.0961)"
"議員新人割合","ln係数","-0.0040 (0.0391)","-0.0051 (0.0392)","-0.0040 (0.0392)"
"首長X65歳以上割合","ln係数","0.0198* (0.0107)","0.0200* (0.0107)","0.0200* (0.0107)"
"首長新人割合","ln係数","-0.0079 (0.0081)","-0.0078 (0.0081)","-0.0078 (0.0081)"
"首長女性割合","ln係数","-0.0081 (0.0227)","-0.0075 (0.0226)","-0.0074 (0.0228)"
"地域女性割合","ln係数","3.1027* (1.7357)","3.0841* (1.7383)","3.1046* (1.7392)"
"経常収支比率.市町村財政.","ln係数","-0.0033*** (0.0012)","-0.0032*** (0.0012)","-0.0032*** (0.0012)"
"ln児童生徒数","ln係数","0.6541*** (0.1407)","0.6450*** (0.1415)","0.6562*** (0.1409)"
"政令市_post2017","ln係数","0.6456*** (0.0288)","0.6449*** (0.0287)","0.6464*** (0.0289)"
"児童生徒割合_中央化:factor(議員経過年度)1","ln係数","0.3068 (0.4163)","","0.1874 (0.4251)"
"児童生徒割合_中央化:factor(議員経過年度)2","ln係数","-0.0103 (0.4813)","","-0.1291 (0.4861)"
"児童生徒割合_中央化:factor(議員経過年度)3","ln係数","0.4298 (0.4713)","","0.4168 (0.4815)"
"factor(首長経過年度)1","ln係数","","0.0008 (0.0058)","-0.0018 (0.0060)"
"factor(首長経過年度)2","ln係数","","0.0023 (0.0064)","0.0012 (0.0065)"
"factor(首長経過年度)3","ln係数","","0.0047 (0.0059)","0.0026 (0.0061)"
"児童生徒割合_中央化:factor(首長経過年度)1","ln係数","","0.5729 (0.4130)","0.5339 (0.4315)"
"児童生徒割合_中央化:factor(首長経過年度)2","ln係数","","0.6449 (0.4884)","0.7039 (0.4932)"
"児童生徒割合_中央化:factor(首長経過年度)3","ln係数","","0.3789 (0.4443)","0.3371 (0.4535)"
"児童生徒割合_中央化","教育費の変化率(%)","-99.5625** (1.1862)","-99.5770** (1.1552)","-99.6830** (0.8626)"
"factor(議員経過年度)1","教育費の変化率(%)","1.3446** (0.6824)","","1.3447* (0.7023)"
"factor(議員経過年度)2","教育費の変化率(%)","0.5286 (0.6936)","","0.4283 (0.7116)"
"factor(議員経過年度)3","教育費の変化率(%)","1.1651* (0.7067)","","1.0646 (0.7267)"
"議会高齢化ギャップ","教育費の変化率(%)","1.3407 (4.5651)","0.8172 (4.3430)","1.3776 (4.5677)"
"議会女性ギャップ","教育費の変化率(%)","1.4588 (9.7570)","0.4814 (9.5657)","1.4696 (9.7559)"
"議員新人割合","教育費の変化率(%)","-0.3980 (3.8950)","-0.5046 (3.8957)","-0.4000 (3.9012)"
"首長X65歳以上割合","教育費の変化率(%)","1.9976* (1.0952)","2.0229* (1.0942)","2.0186* (1.0954)"
"首長新人割合","教育費の変化率(%)","-0.7910 (0.8055)","-0.7727 (0.8052)","-0.7741 (0.8059)"
"首長女性割合","教育費の変化率(%)","-0.8113 (2.2508)","-0.7448 (2.2473)","-0.7367 (2.2649)"
"地域女性割合","教育費の変化率(%)","2125.8486* (3863.5034)","2084.7177* (3797.7511)","2130.0287* (3878.5033)"
"経常収支比率.市町村財政.","教育費の変化率(%)","-0.3245*** (0.1157)","-0.3211*** (0.1154)","-0.3208*** (0.1159)"
