"","指標","議員のみ","首長のみ","両方"
"経常収支比率.市町村財政._中央化","ln係数","-0.0026* (0.0013)","-0.0026** (0.0013)","-0.0021 (0.0014)"
"factor(議員経過年度)1","ln係数","0.0132* (0.0068)","","0.0133* (0.0070)"
"factor(議員経過年度)2","ln係数","0.0055 (0.0069)","","0.0047 (0.0071)"
"factor(議員経過年度)3","ln係数","0.0123* (0.0071)","","0.0114 (0.0073)"
"議会高齢化ギャップ","ln係数","0.0112 (0.0450)","0.0031 (0.0430)","0.0110 (0.0449)"
"議会女性ギャップ","ln係数","0.0150 (0.0968)","0.0065 (0.0957)","0.0154 (0.0969)"
"議員新人割合","ln係数","-0.0056 (0.0393)","-0.0065 (0.0394)","-0.0057 (0.0394)"
"首長X65歳以上割合","ln係数","0.0195* (0.0107)","0.0201* (0.0108)","0.0197* (0.0108)"
"首長新人割合","ln係数","-0.0078 (0.0081)","-0.0076 (0.0081)","-0.0078 (0.0081)"
"首長女性割合","ln係数","-0.0100 (0.0226)","-0.0084 (0.0224)","-0.0102 (0.0226)"
"地域女性割合","ln係数","3.2742* (1.7656)","3.2542* (1.7615)","3.2838* (1.7654)"
"ln児童生徒数","ln係数","0.4023*** (0.0799)","0.4041*** (0.0799)","0.4014*** (0.0799)"
"政令市_post2017","ln係数","0.6600*** (0.0292)","0.6500*** (0.0288)","0.6594*** (0.0295)"
"経常収支比率.市町村財政._中央化:factor(議員経過年度)1","ln係数","0.0002 (0.0011)","","0.0005 (0.0011)"
"経常収支比率.市町村財政._中央化:factor(議員経過年度)2","ln係数","-0.0010 (0.0011)","","-0.0008 (0.0011)"
"経常収支比率.市町村財政._中央化:factor(議員経過年度)3","ln係数","-0.0019* (0.0010)","","-0.0018* (0.0011)"
"factor(首長経過年度)1","ln係数","","0.0010 (0.0058)","-0.0016 (0.0060)"
"factor(首長経過年度)2","ln係数","","0.0023 (0.0064)","0.0007 (0.0066)"
"factor(首長経過年度)3","ln係数","","0.0046 (0.0059)","0.0022 (0.0061)"
"経常収支比率.市町村財政._中央化:factor(首長経過年度)1","ln係数","","-0.0008 (0.0010)","-0.0011 (0.0010)"
"経常収支比率.市町村財政._中央化:factor(首長経過年度)2","ln係数","","-0.0011 (0.0011)","-0.0010 (0.0011)"
"経常収支比率.市町村財政._中央化:factor(首長経過年度)3","ln係数","","-0.0009 (0.0010)","-0.0007 (0.0010)"
"経常収支比率.市町村財政._中央化","教育費の変化率(%)","-0.2608* (0.1333)","-0.2589** (0.1294)","-0.2102 (0.1412)"
"factor(議員経過年度)1","教育費の変化率(%)","1.3328* (0.6882)","","1.3438* (0.7085)"
"factor(議員経過年度)2","教育費の変化率(%)","0.5530 (0.6980)","","0.4715 (0.7173)"
"factor(議員経過年度)3","教育費の変化率(%)","1.2357* (0.7217)","","1.1469 (0.7396)"
"議会高齢化ギャップ","教育費の変化率(%)","1.1238 (4.5492)","0.3128 (4.3151)","1.1018 (4.5441)"
"議会女性ギャップ","教育費の変化率(%)","1.5136 (9.8237)","0.6552 (9.6359)","1.5550 (9.8426)"
"議員新人割合","教育費の変化率(%)","-0.5580 (3.9129)","-0.6496 (3.9102)","-0.5638 (3.9178)"
"首長X65歳以上割合","教育費の変化率(%)","1.9694* (1.0960)","2.0315* (1.0975)","1.9849* (1.0971)"
"首長新人割合","教育費の変化率(%)","-0.7741 (0.8076)","-0.7548 (0.8083)","-0.7742 (0.8084)"
"首長女性割合","教育費の変化率(%)","-0.9992 (2.2380)","-0.8328 (2.2256)","-1.0187 (2.2387)"
"地域女性割合","教育費の変化率(%)","2542.2352* (4665.0874)","2489.7910* (4561.8165)","2567.5791* (4709.2645)"
"ln児童生徒数","教育費の変化率(%)","49.5322*** (11.9492)","49.8002*** (11.9666)","49.3945*** (11.9397)"
"政令市_post2017","教育費の変化率(%)","93.4784*** (5.6577)","91.5462*** (5.5137)","93.3585*** (5.7008)"
