"","指標","議員のみ","首長のみ","両方"
"ln総人口_中央化","ln係数","0.3715* (0.2144)","0.3752* (0.2143)","0.3729* (0.2145)"
"factor(議員経過年度)1","ln係数","0.0135** (0.0067)","","0.0142** (0.0069)"
"factor(議員経過年度)2","ln係数","0.0055 (0.0069)","","0.0049 (0.0071)"
"factor(議員経過年度)3","ln係数","0.0119* (0.0070)","","0.0113 (0.0072)"
"議会高齢化ギャップ","ln係数","0.0176 (0.0454)","0.0081 (0.0431)","0.0170 (0.0454)"
"議会女性ギャップ","ln係数","0.0109 (0.0966)","0.0021 (0.0956)","0.0104 (0.0966)"
"議員新人割合","ln係数","-0.0041 (0.0393)","-0.0065 (0.0392)","-0.0046 (0.0393)"
"首長X65歳以上割合","ln係数","0.0195* (0.0107)","0.0201* (0.0107)","0.0199* (0.0107)"
"首長新人割合","ln係数","-0.0078 (0.0081)","-0.0076 (0.0081)","-0.0077 (0.0081)"
"首長女性割合","ln係数","-0.0088 (0.0226)","-0.0085 (0.0225)","-0.0088 (0.0227)"
"地域女性割合","ln係数","3.0049* (1.7291)","3.0800* (1.7267)","3.0349* (1.7287)"
"経常収支比率.市町村財政.","ln係数","-0.0033*** (0.0012)","-0.0032*** (0.0012)","-0.0034*** (0.0012)"
"ln児童生徒数","ln係数","0.3174*** (0.0965)","0.3197*** (0.0967)","0.3171*** (0.0966)"
"政令市_post2017","ln係数","0.6428*** (0.0299)","0.6341*** (0.0290)","0.6385*** (0.0301)"
"ln総人口_中央化:factor(議員経過年度)1","ln係数","-0.0009 (0.0040)","","0.0011 (0.0042)"
"ln総人口_中央化:factor(議員経過年度)2","ln係数","0.0027 (0.0043)","","0.0033 (0.0042)"
"ln総人口_中央化:factor(議員経過年度)3","ln係数","-0.0059 (0.0041)","","-0.0044 (0.0041)"
"factor(首長経過年度)1","ln係数","","0.0008 (0.0058)","-0.0018 (0.0060)"
"factor(首長経過年度)2","ln係数","","0.0022 (0.0064)","0.0007 (0.0065)"
"factor(首長経過年度)3","ln係数","","0.0045 (0.0059)","0.0024 (0.0060)"
"ln総人口_中央化:factor(首長経過年度)1","ln係数","","-0.0074** (0.0036)","-0.0077** (0.0038)"
"ln総人口_中央化:factor(首長経過年度)2","ln係数","","-0.0025 (0.0041)","-0.0036 (0.0040)"
"ln総人口_中央化:factor(首長経過年度)3","ln係数","","-0.0066* (0.0039)","-0.0059 (0.0040)"
"ln総人口_中央化","教育費の変化率(%)","44.9884* (31.0888)","45.5274* (31.1856)","45.1876* (31.1420)"
"factor(議員経過年度)1","教育費の変化率(%)","1.3605** (0.6815)","","1.4285** (0.7010)"
"factor(議員経過年度)2","教育費の変化率(%)","0.5497 (0.6956)","","0.4922 (0.7122)"
"factor(議員経過年度)3","教育費の変化率(%)","1.1949* (0.7098)","","1.1389 (0.7283)"
"議会高齢化ギャップ","教育費の変化率(%)","1.7739 (4.6229)","0.8147 (4.3422)","1.7109 (4.6161)"
"議会女性ギャップ","教育費の変化率(%)","1.0997 (9.7706)","0.2118 (9.5787)","1.0471 (9.7597)"
