"","指標","議員のみ","首長のみ","両方","両方(ブートストラップp値)"
"factor(議員経過年度)1","ln係数","0.0134** (0.0068)","","0.0134* (0.0070)",""
"factor(議員経過年度)2","ln係数","0.0048 (0.0070)","","0.0039 (0.0072)",""
"factor(議員経過年度)3","ln係数","0.0110 (0.0070)","","0.0101 (0.0072)",""
"議員1年_政令市","ln係数","-0.0266 (0.0192)","","-0.0296 (0.0247)",""
"議員2年_政令市","ln係数","0.0311** (0.0152)","","0.0269* (0.0160)",""
"議員3年_政令市","ln係数","0.0330** (0.0147)","","0.0294 (0.0202)",""
"議会高齢化ギャップ","ln係数","0.0081 (0.0450)","0.0028 (0.0430)","0.0079 (0.0450)",""
"議会女性ギャップ","ln係数","0.0155 (0.0967)","0.0070 (0.0956)","0.0158 (0.0967)",""
"議員新人割合","ln係数","-0.0055 (0.0394)","-0.0070 (0.0394)","-0.0057 (0.0394)",""
"首長X65歳以上割合","ln係数","0.0197* (0.0107)","0.0200* (0.0107)","0.0199* (0.0108)",""
"首長新人割合","ln係数","-0.0077 (0.0081)","-0.0076 (0.0081)","-0.0076 (0.0082)",""
"首長女性割合","ln係数","-0.0078 (0.0226)","-0.0071 (0.0225)","-0.0071 (0.0226)",""
"地域女性割合","ln係数","3.2683* (1.7640)","3.2524* (1.7617)","3.2711* (1.7645)",""
"経常収支比率.市町村財政.","ln係数","-0.0033*** (0.0012)","-0.0033*** (0.0012)","-0.0033*** (0.0012)",""
"ln児童生徒数","ln係数","0.4054*** (0.0799)","0.4052*** (0.0799)","0.4053*** (0.0799)",""
"政令市_post2017","ln係数","0.6165*** (0.0325)","0.6467*** (0.0302)","0.6162*** (0.0334)",""
"factor(首長経過年度)1","ln係数","","0.0012 (0.0059)","-0.0014 (0.0061)",""
"factor(首長経過年度)2","ln係数","","0.0025 (0.0065)","0.0015 (0.0066)",""
"factor(首長経過年度)3","ln係数","","0.0048 (0.0060)","0.0029 (0.0061)",""
"首長1年_政令市","ln係数","","-0.0264* (0.0157)","-0.0125 (0.0190)",""
"首長2年_政令市","ln係数","","-0.0314** (0.0130)","-0.0192 (0.0124)",""
"首長3年_政令市","ln係数","","-0.0172 (0.0144)","-0.0035 (0.0160)",""
"factor(議員経過年度)1","教育費の変化率(%)","1.3476** (0.6857)","","1.3485* (0.7060)",""
"factor(議員経過年度)2","教育費の変化率(%)","0.4817 (0.6995)","","0.3932 (0.7186)",""
"factor(議員経過年度)3","教育費の変化率(%)","1.1076 (0.7114)","","1.0168 (0.7316)",""
"議員1年_政令市","教育費の変化率(%)","-2.6268 (1.8737)","","-2.9166 (2.3935)",""
"議員2年_政令市","教育費の変化率(%)","3.1572** (1.5636)","","2.7244* (1.6426)",""
"議員3年_政令市","教育費の変化率(%)","3.3539** (1.5201)","","2.9858 (2.0836)",""
"議会高齢化ギャップ","教育費の変化率(%)","0.8108 (4.5384)","0.2772 (4.3167)","0.7957 (4.5363)",""
"議会女性ギャップ","教育費の変化率(%)","1.5661 (9.8236)","0.7030 (9.6304)","1.5879 (9.8219)",""
"議員新人割合","教育費の変化率(%)","-0.5461 (3.9184)","-0.6990 (3.9079)","-0.5661 (3.9202)",""
"首長X65歳以上割合","教育費の変化率(%)","1.9851* (1.0963)","2.0218* (1.0963)","2.0055* (1.0967)",""
"首長新人割合","教育費の変化率(%)","-0.7640 (0.8084)","-0.7530 (0.8079)","-0.7566 (0.8088)",""
"首長女性割合","教育費の変化率(%)","-0.7805 (2.2397)","-0.7051 (2.2320)","-0.7108 (2.2489)",""
"地域女性割合","教育費の変化率(%)","2526.6979* (4633.6133)","2485.1591* (4554.3158)","2533.9147* (4647.4858)",""
"経常収支比率.市町村財政.","教育費の変化率(%)","-0.3266*** (0.1153)","-0.3255*** (0.1154)","-0.3268*** (0.1154)",""
"ln児童生徒数","教育費の変化率(%)","49.9849*** (11.9794)","49.9665*** (11.9781)","49.9760*** (11.9804)",""
"政令市_post2017","教育費の変化率(%)","85.2350*** (6.0141)","90.9149*** (5.7646)","85.1960*** (6.1779)",""
"factor(首長経過年度)1","教育費の変化率(%)","","0.1187 (0.5901)","-0.1366 (0.6097)",""
"factor(首長経過年度)2","教育費の変化率(%)","","0.2533 (0.6468)","0.1471 (0.6613)",""
"factor(首長経過年度)3","教育費の変化率(%)","","0.4835 (0.5986)","0.2922 (0.6147)",""
"首長1年_政令市","教育費の変化率(%)","","-2.6010* (1.5248)","-1.2436 (1.8805)",""
"首長2年_政令市","教育費の変化率(%)","","-3.0911** (1.2559)","-1.9026 (1.2161)",""
"首長3年_政令市","教育費の変化率(%)","","-1.7020 (1.4197)","-0.3528 (1.5899)",""
"factor(議員経過年度)1","p値","0.0479**","","0.0545*","0.0850*"
"factor(議員経過年度)2","p値","0.4900","","0.5835","0.6050"
"factor(議員経過年度)3","p値","0.1175","","0.1625","0.1250"
"議員1年_政令市","p値","0.1666","","0.2299","0.3400"
"議員2年_政令市","p値","0.0403**","","0.0928*","0.1150"
"議員3年_政令市","p値","0.0249**","","0.1459","0.2950"
"議会高齢化ギャップ","p値","0.8576","0.9487","0.8602","0.8550"
"議会女性ギャップ","p値","0.8724","0.9416","0.8706","0.9000"
"議員新人割合","p値","0.8895","0.8585","0.8855","0.8850"
"首長X65歳以上割合","p値","0.0675*","0.0625*","0.0648*","0.0500**"
"首長新人割合","p値","0.3465","0.3531","0.3514","0.3550"
"首長女性割合","p値","0.7285","0.7529","0.7528","0.7900"
"地域女性割合","p値","0.0640*","0.0649*","0.0638*","0.0800*"
"経常収支比率.市町村財政.","p値","0.0047***","0.0049***","0.0047***","0.0050***"
"ln児童生徒数","p値","0.0000***","0.0000***","0.0000***","0.0050***"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***","0.0050***"
"factor(首長経過年度)1","p値","","0.8404","0.8228","0.8000"
"factor(首長経過年度)2","p値","","0.6950","0.8238","0.8100"
"factor(首長経過年度)3","p値","","0.4181","0.6340","0.6350"
"首長1年_政令市","p値","","0.0923*","0.5111","0.5200"
"首長2年_政令市","p値","","0.0154**","0.1213","0.1400"
"首長3年_政令市","p値","","0.2346","0.8247","0.8300"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター",""
"観測数","モデル情報","10242","10242","10242",""
"自治体数","モデル情報","1707","1707","1707",""
"年度数","モデル情報","6","6","6",""
"決定係数","モデル情報","0.0285","0.0280","0.0286",""
"調整済み決定係数","モデル情報","-0.1686","-0.1691","-0.1693",""
"F統計量","モデル情報","58.35","46.91","60.42",""
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16",""
