"","指標","議員のみ","首長のみ","両方","首長のみ(ブートストラップp値)","両方(ブートストラップp値)"
"議員選挙年","ln係数","-0.0095 (0.0058)","","-0.0092 (0.0059)","",""
"議員選挙年_政令市","ln係数","-0.0112 (0.0139)","","-0.0132 (0.0139)","",""
"議会高齢化ギャップ","ln係数","0.0100 (0.0440)","0.0019 (0.0429)","0.0098 (0.0440)","",""
"議会女性ギャップ","ln係数","0.0182 (0.0963)","0.0056 (0.0956)","0.0181 (0.0964)","",""
"議員新人割合","ln係数","-0.0049 (0.0394)","-0.0070 (0.0394)","-0.0049 (0.0394)","",""
"首長X65歳以上割合","ln係数","0.0197* (0.0107)","0.0199* (0.0108)","0.0198* (0.0108)","",""
"首長新人割合","ln係数","-0.0076 (0.0081)","-0.0076 (0.0081)","-0.0076 (0.0081)","",""
"首長女性割合","ln係数","-0.0082 (0.0224)","-0.0074 (0.0225)","-0.0076 (0.0225)","",""
"地域女性割合","ln係数","3.2692* (1.7629)","3.2467* (1.7610)","3.2705* (1.7629)","",""
"経常収支比率.市町村財政.","ln係数","-0.0033*** (0.0012)","-0.0033*** (0.0012)","-0.0033*** (0.0012)","",""
"ln児童生徒数","ln係数","0.4045*** (0.0799)","0.4053*** (0.0799)","0.4046*** (0.0799)","",""
"政令市_post2017","ln係数","0.6520*** (0.0288)","0.6444*** (0.0285)","0.6455*** (0.0288)","",""
"首長選挙年","ln係数","","-0.0029 (0.0049)","-0.0011 (0.0050)","",""
"首長選挙年_政令市","ln係数","","0.0250*** (0.0094)","0.0242*** (0.0091)","",""
"議員選挙年","教育費の変化率(%)","-0.9409 (0.5736)","","-0.9109 (0.5862)","",""
"議員選挙年_政令市","教育費の変化率(%)","-1.1130 (1.3791)","","-1.3078 (1.3711)","",""
"議会高齢化ギャップ","教育費の変化率(%)","1.0030 (4.4428)","0.1913 (4.2986)","0.9846 (4.4424)","",""
"議会女性ギャップ","教育費の変化率(%)","1.8317 (9.8114)","0.5642 (9.6144)","1.8236 (9.8109)","",""
"議員新人割合","教育費の変化率(%)","-0.4881 (3.9178)","-0.6995 (3.9087)","-0.4860 (3.9178)","",""
"首長X65歳以上割合","教育費の変化率(%)","1.9935* (1.0959)","2.0084* (1.0971)","1.9954* (1.0972)","",""
"首長新人割合","教育費の変化率(%)","-0.7583 (0.8074)","-0.7591 (0.8076)","-0.7582 (0.8077)","",""
"首長女性割合","教育費の変化率(%)","-0.8194 (2.2236)","-0.7324 (2.2307)","-0.7557 (2.2289)","",""
"地域女性割合","教育費の変化率(%)","2528.9927* (4634.7162)","2470.6472* (4526.8265)","2532.3898* (4640.7691)","",""
"経常収支比率.市町村財政.","教育費の変化率(%)","-0.3261*** (0.1153)","-0.3261*** (0.1153)","-0.3263*** (0.1154)","",""
"ln児童生徒数","教育費の変化率(%)","49.8564*** (11.9664)","49.9754*** (11.9785)","49.8699*** (11.9696)","",""
"政令市_post2017","教育費の変化率(%)","91.9367*** (5.5342)","90.4873*** (5.4280)","90.6881*** (5.4990)","",""
"首長選挙年","教育費の変化率(%)","","-0.2851 (0.4923)","-0.1067 (0.5035)","",""
"首長選挙年_政令市","教育費の変化率(%)","","2.5329*** (0.9612)","2.4444*** (0.9343)","",""
"議員選挙年","p値","0.1026","","0.1220","","0.1350"
"議員選挙年_政令市","p値","0.4223","","0.3434","","0.4300"
"議会高齢化ギャップ","p値","0.8205","0.9645","0.8238","0.9600","0.8250"
"議会女性ギャップ","p値","0.8506","0.9531","0.8512","0.9750","0.8850"
"議員新人割合","p値","0.9011","0.8585","0.9015","0.8600","0.9000"
"首長X65歳以上割合","p値","0.0662*","0.0645*","0.0663*","0.0500**","0.0500**"
"首長新人割合","p値","0.3495","0.3491","0.3497","0.3650","0.3600"
"首長女性割合","p値","0.7136","0.7436","0.7355","0.7850","0.7800"
"地域女性割合","p値","0.0637*","0.0653*","0.0636*","0.0850*","0.0800*"
"経常収支比率.市町村財政.","p値","0.0048***","0.0048***","0.0048***","0.0050***","0.0050***"
"ln児童生徒数","p値","0.0000***","0.0000***","0.0000***","0.0050***","0.0050***"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***","0.0050***","0.0050***"
"首長選挙年","p値","","0.5630","0.8323","0.5500","0.8400"
"首長選挙年_政令市","p値","","0.0076***","0.0081***","0.0200**","0.0150**"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度","",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター","",""
"観測数","モデル情報","10242","10242","10242","",""
"自治体数","モデル情報","1707","1707","1707","",""
"年度数","モデル情報","6","6","6","",""
"決定係数","モデル情報","0.0282","0.0280","0.0282","",""
"調整済み決定係数","モデル情報","-0.1684","-0.1686","-0.1686","",""
"F統計量","モデル情報","51.64","52.49","45.61","",""
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16","",""
