"","指標","議員のみ","首長のみ","両方","両方(ブートストラップp値)"
"factor(議員経過年度)1","ln係数","0.0136** (0.0068)","","0.0138** (0.0069)",""
"factor(議員経過年度)2","ln係数","0.0045 (0.0070)","","0.0039 (0.0071)",""
"factor(議員経過年度)3","ln係数","0.0109 (0.0070)","","0.0100 (0.0072)",""
"議員1年_特別区","ln係数","-0.0353 (0.0271)","","-0.0675** (0.0269)",""
"議員2年_特別区","ln係数","0.0442 (0.0378)","","0.0330 (0.0381)",""
"議員3年_特別区","ln係数","0.0337 (0.0324)","","0.0661** (0.0321)",""
"議会高齢化ギャップ","ln係数","0.0079 (0.0450)","0.0029 (0.0430)","0.0080 (0.0450)",""
"議会女性ギャップ","ln係数","0.0159 (0.0967)","0.0065 (0.0957)","0.0148 (0.0967)",""
"議員新人割合","ln係数","-0.0054 (0.0394)","-0.0071 (0.0394)","-0.0059 (0.0394)",""
"首長X65歳以上割合","ln係数","0.0198* (0.0108)","0.0200* (0.0107)","0.0200* (0.0108)",""
"首長新人割合","ln係数","-0.0076 (0.0081)","-0.0076 (0.0081)","-0.0075 (0.0082)",""
"首長女性割合","ln係数","-0.0082 (0.0226)","-0.0076 (0.0225)","-0.0078 (0.0226)",""
"地域女性割合","ln係数","3.2412* (1.7622)","3.2476* (1.7613)","3.2412* (1.7625)",""
"経常収支比率.市町村財政.","ln係数","-0.0033*** (0.0012)","-0.0033*** (0.0012)","-0.0033*** (0.0012)",""
"ln児童生徒数","ln係数","0.4020*** (0.0800)","0.4049*** (0.0799)","0.4019*** (0.0800)",""
"政令市_post2017","ln係数","0.6540*** (0.0289)","0.6518*** (0.0288)","0.6546*** (0.0290)",""
"factor(首長経過年度)1","ln係数","","0.0008 (0.0059)","-0.0019 (0.0061)",""
"factor(首長経過年度)2","ln係数","","0.0014 (0.0065)","0.0003 (0.0066)",""
"factor(首長経過年度)3","ln係数","","0.0048 (0.0060)","0.0028 (0.0061)",""
"首長1年_特別区","ln係数","","0.0101 (0.0368)","0.0407 (0.0276)",""
"首長2年_特別区","ln係数","","0.0493 (0.0339)","0.0305 (0.0335)",""
"首長3年_特別区","ln係数","","-0.0118 (0.0295)","-0.0660** (0.0292)",""
"factor(議員経過年度)1","教育費の変化率(%)","1.3710** (0.6852)","","1.3878** (0.7046)",""
"factor(議員経過年度)2","教育費の変化率(%)","0.4556 (0.6989)","","0.3893 (0.7165)",""
"factor(議員経過年度)3","教育費の変化率(%)","1.0945 (0.7111)","","1.0018 (0.7303)",""
"議員1年_特別区","教育費の変化率(%)","-3.4702 (2.6176)","","-6.5295** (2.5113)",""
