"","指標","議員のみ","首長のみ","両方","首長のみ(ブートストラップp値)","両方(ブートストラップp値)"
"議員選挙年","ln係数","-0.0095 (0.0058)","","-0.0093 (0.0059)","",""
"議員選挙年_特別区","ln係数","-0.0107 (0.0251)","","-0.0028 (0.0214)","",""
"議会高齢化ギャップ","ln係数","0.0100 (0.0440)","0.0018 (0.0429)","0.0099 (0.0440)","",""
"議会女性ギャップ","ln係数","0.0182 (0.0964)","0.0058 (0.0956)","0.0183 (0.0964)","",""
"議員新人割合","ln係数","-0.0048 (0.0394)","-0.0070 (0.0394)","-0.0048 (0.0394)","",""
"首長X65歳以上割合","ln係数","0.0197* (0.0107)","0.0199* (0.0108)","0.0198* (0.0108)","",""
"首長新人割合","ln係数","-0.0076 (0.0081)","-0.0076 (0.0081)","-0.0076 (0.0081)","",""
"首長女性割合","ln係数","-0.0083 (0.0224)","-0.0079 (0.0225)","-0.0082 (0.0225)","",""
"地域女性割合","ln係数","3.2699* (1.7630)","3.2466* (1.7610)","3.2702* (1.7630)","",""
"経常収支比率.市町村財政.","ln係数","-0.0033*** (0.0012)","-0.0033*** (0.0012)","-0.0033*** (0.0012)","",""
"ln児童生徒数","ln係数","0.4047*** (0.0799)","0.4051*** (0.0799)","0.4045*** (0.0799)","",""
"政令市_post2017","ln係数","0.6508*** (0.0287)","0.6515*** (0.0286)","0.6510*** (0.0288)","",""
"首長選挙年","ln係数","","-0.0024 (0.0049)","-0.0006 (0.0050)","",""
"首長選挙年_特別区","ln係数","","-0.0175 (0.0252)","-0.0150 (0.0224)","",""
"議員選挙年","教育費の変化率(%)","-0.9409 (0.5732)","","-0.9242 (0.5847)","",""
"議員選挙年_特別区","教育費の変化率(%)","-1.0626 (2.4865)","","-0.2817 (2.1352)","",""
"議会高齢化ギャップ","教育費の変化率(%)","1.0002 (4.4429)","0.1841 (4.2983)","0.9924 (4.4427)","",""
"議会女性ギャップ","教育費の変化率(%)","1.8372 (9.8122)","0.5845 (9.6167)","1.8472 (9.8137)","",""
"議員新人割合","教育費の変化率(%)","-0.4816 (3.9186)","-0.6947 (3.9094)","-0.4783 (3.9188)","",""
"首長X65歳以上割合","教育費の変化率(%)","1.9939* (1.0959)","2.0094* (1.0971)","1.9983* (1.0973)","",""
"首長新人割合","教育費の変化率(%)","-0.7590 (0.8075)","-0.7590 (0.8076)","-0.7574 (0.8078)","",""
"首長女性割合","教育費の変化率(%)","-0.8257 (2.2236)","-0.7838 (2.2298)","-0.8122 (2.2275)","",""
"地域女性割合","教育費の変化率(%)","2530.8267* (4638.0910)","2470.2891* (4526.1733)","2531.5647* (4639.3789)","",""
"経常収支比率.市町村財政.","教育費の変化率(%)","-0.3267*** (0.1155)","-0.3269*** (0.1154)","-0.3270*** (0.1155)","",""
"ln児童生徒数","教育費の変化率(%)","49.8799*** (11.9689)","49.9490*** (11.9758)","49.8491*** (11.9699)","",""
"政令市_post2017","教育費の変化率(%)","91.7120*** (5.5091)","91.8464*** (5.4924)","91.7469*** (5.5158)","",""
"首長選挙年","教育費の変化率(%)","","-0.2388 (0.4928)","-0.0611 (0.5033)","",""
"首長選挙年_特別区","教育費の変化率(%)","","-1.7377 (2.4766)","-1.4924 (2.2053)","",""
"議員選挙年","p値","0.1024","","0.1157","","0.1250"
"議員選挙年_特別区","p値","0.6708","","0.8952","","0.8750"
"議会高齢化ギャップ","p値","0.8210","0.9658","0.8224","0.9600","0.8200"
"議会女性ギャップ","p値","0.8501","0.9514","0.8494","0.9700","0.8900"
"議員新人割合","p値","0.9024","0.8594","0.9031","0.8650","0.9000"
"首長X65歳以上割合","p値","0.0662*","0.0644*","0.0659*","0.0500**","0.0500**"
"首長新人割合","p値","0.3491","0.3491","0.3503","0.3700","0.3650"
"首長女性割合","p値","0.7116","0.7262","0.7165","0.7600","0.7550"
"地域女性割合","p値","0.0637*","0.0653*","0.0636*","0.0850*","0.0800*"
"経常収支比率.市町村財政.","p値","0.0048***","0.0047***","0.0047***","0.0050***","0.0050***"
"ln児童生徒数","p値","0.0000***","0.0000***","0.0000***","0.0050***","0.0050***"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***","0.0050***","0.0050***"
"首長選挙年","p値","","0.6284","0.9034","0.5950","0.8950"
"首長選挙年_特別区","p値","","0.4867","0.5018","0.5100","0.5700"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度","",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター","",""
"観測数","モデル情報","10242","10242","10242","",""
"自治体数","モデル情報","1707","1707","1707","",""
"年度数","モデル情報","6","6","6","",""
"決定係数","モデル情報","0.0282","0.0280","0.0282","",""
"調整済み決定係数","モデル情報","-0.1684","-0.1687","-0.1686","",""
"F統計量","モデル情報","51.61","51.99","44.26","",""
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16","",""
