"","指標","議員のみ","首長のみ","両方"
"factor(議員経過年度)1","ln係数","0.0116* (0.0068)","","0.0121* (0.0070)"
"factor(議員経過年度)2","ln係数","0.0062 (0.0069)","","0.0058 (0.0071)"
"factor(議員経過年度)3","ln係数","0.0119* (0.0070)","","0.0116 (0.0072)"
"議会高齢化ギャップ","ln係数","0.0044 (0.0450)","-0.0037 (0.0431)","0.0044 (0.0450)"
"議会女性ギャップ","ln係数","0.0166 (0.0968)","0.0053 (0.0958)","0.0168 (0.0968)"
"議員新人割合","ln係数","-0.0054 (0.0394)","-0.0076 (0.0394)","-0.0055 (0.0395)"
"首長X65歳以上割合","ln係数","0.0202* (0.0108)","0.0204* (0.0108)","0.0202* (0.0108)"
"首長新人割合","ln係数","-0.0081 (0.0082)","-0.0080 (0.0082)","-0.0081 (0.0082)"
"首長女性割合","ln係数","-0.0127 (0.0229)","-0.0124 (0.0229)","-0.0125 (0.0230)"
"地域女性割合","ln係数","3.6328** (1.7864)","3.6150** (1.7844)","3.6321** (1.7868)"
"経常収支比率.市町村財政.","ln係数","-0.0035*** (0.0012)","-0.0035*** (0.0012)","-0.0035*** (0.0012)"
"ln児童生徒数","ln係数","0.4271*** (0.0801)","0.4277*** (0.0801)","0.4270*** (0.0801)"
"factor(首長経過年度)1","ln係数","","-0.0007 (0.0059)","-0.0027 (0.0061)"
"factor(首長経過年度)2","ln係数","","0.0012 (0.0064)","0.0001 (0.0066)"
"factor(首長経過年度)3","ln係数","","0.0028 (0.0060)","0.0006 (0.0061)"
"factor(議員経過年度)1","教育費の変化率(%)","1.1645* (0.6868)","","1.2144* (0.7070)"
"factor(議員経過年度)2","教育費の変化率(%)","0.6214 (0.6969)","","0.5850 (0.7164)"
"factor(議員経過年度)3","教育費の変化率(%)","1.1984* (0.7096)","","1.1660 (0.7304)"
"議会高齢化ギャップ","教育費の変化率(%)","0.4385 (4.5244)","-0.3664 (4.2966)","0.4392 (4.5227)"
"議会女性ギャップ","教育費の変化率(%)","1.6779 (9.8459)","0.5289 (9.6260)","1.6941 (9.8451)"
"議員新人割合","教育費の変化率(%)","-0.5373 (3.9232)","-0.7558 (3.9111)","-0.5496 (3.9255)"
"首長X65歳以上割合","教育費の変化率(%)","2.0362* (1.1042)","2.0579* (1.1040)","2.0444* (1.1042)"
"首長新人割合","教育費の変化率(%)","-0.8067 (0.8160)","-0.8001 (0.8156)","-0.8034 (0.8164)"
"首長女性割合","教育費の変化率(%)","-1.2610 (2.2594)","-1.2300 (2.2573)","-1.2467 (2.2666)"
"地域女性割合","教育費の変化率(%)","3681.7733** (6755.8224)","3615.1697** (6629.4013)","3679.3774** (6752.8410)"
"経常収支比率.市町村財政.","教育費の変化率(%)","-0.3540*** (0.1157)","-0.3530*** (0.1158)","-0.3541*** (0.1158)"
"ln児童生徒数","教育費の変化率(%)","53.2789*** (12.2722)","53.3655*** (12.2801)","53.2670*** (12.2700)"
"factor(首長経過年度)1","教育費の変化率(%)","","-0.0674 (0.5863)","-0.2732 (0.6057)"
"factor(首長経過年度)2","教育費の変化率(%)","","0.1229 (0.6411)","0.0053 (0.6550)"
"factor(首長経過年度)3","教育費の変化率(%)","","0.2794 (0.5975)","0.0586 (0.6134)"
"factor(議員経過年度)1","p値","0.0881*","","0.0840*"
"factor(議員経過年度)2","p値","0.3711","","0.4128"
"factor(議員経過年度)3","p値","0.0894*","","0.1084"
"議会高齢化ギャップ","p値","0.9226","0.9322","0.9225"
"議会女性ギャップ","p値","0.8636","0.9561","0.8622"
"議員新人割合","p値","0.8914","0.8474","0.8890"
"首長X65歳以上割合","p値","0.0625*","0.0597*","0.0615*"
"首長新人割合","p値","0.3249","0.3285","0.3271"
"首長女性割合","p値","0.5792","0.5882","0.5847"
"地域女性割合","p値","0.0420**","0.0428**","0.0421**"
"経常収支比率.市町村財政.","p値","0.0023***","0.0024***","0.0023***"
"ln児童生徒数","p値","0.0000***","0.0000***","0.0000***"
"factor(首長経過年度)1","p値","","0.9086","0.6524"
"factor(首長経過年度)2","p値","","0.8478","0.9936"
"factor(首長経過年度)3","p値","","0.6396","0.9239"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度"
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター"
"観測数","モデル情報","10242","10242","10242"
"自治体数","モデル情報","1707","1707","1707"
"年度数","モデル情報","6","6","6"
"決定係数","モデル情報","0.0131","0.0127","0.0131"
"調整済み決定係数","モデル情報","-0.1866","-0.1870","-0.1869"
"F統計量","モデル情報","4.96","4.70","4.02"
"F検定のp値","モデル情報","3.91e-08","1.39e-07","3.18e-07"
