"","指標","議員のみ","首長のみ","両方","首長のみ(ブートストラップp値)","両方(ブートストラップp値)"
"議員選挙年","logit係数","0.0246 (0.0332)","","0.0008 (0.0414)","",""
"議員選挙年_政令市","logit係数","-0.0106 (0.0298)","","0.0043 (0.0323)","",""
"議会高齢化ギャップ","logit係数","-0.2473 (0.3237)","-0.2151 (0.3241)","-0.2203 (0.3295)","",""
"議会女性ギャップ","logit係数","-0.5858 (0.4428)","-0.7340 (0.4733)","-0.7287 (0.4652)","",""
"議員新人割合","logit係数","0.2771 (0.2073)","0.3001 (0.2147)","0.2973 (0.2138)","",""
"首長X65歳以上割合","logit係数","0.0287 (0.0414)","0.0217 (0.0428)","0.0222 (0.0425)","",""
"首長新人割合","logit係数","0.0282 (0.0266)","0.0288 (0.0254)","0.0288 (0.0260)","",""
"首長女性割合","logit係数","0.0629 (0.0480)","0.0232 (0.0503)","0.0231 (0.0529)","",""
"地域女性割合","logit係数","-2.5398 (17.6255)","-2.5182 (17.6298)","-2.6645 (17.6087)","",""
"経常収支比率.市町村財政.","logit係数","-0.0033 (0.0042)","-0.0014 (0.0046)","-0.0014 (0.0045)","",""
"児童生徒割合","logit係数","-3.6290 (8.6398)","-1.8968 (8.9353)","-1.9017 (8.9420)","",""
"政令市_post2017","logit係数","0.6739*** (0.0460)","0.6695*** (0.0456)","0.6694*** (0.0457)","",""
"首長選挙年","logit係数","","0.0491* (0.0265)","0.0488 (0.0299)","",""
"首長選挙年_政令市","logit係数","","-0.0249 (0.0306)","-0.0248 (0.0342)","",""
"議員選挙年","教育費シェア%pt (評価点 0.1043)","0.2324 (0.3097)","","0.0072 (0.3864)","",""
"議員選挙年_政令市","教育費シェア%pt (評価点 0.1043)","-0.0983 (0.2778)","","0.0400 (0.3019)","",""
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","-2.0941 (3.0233)","-1.8448 (3.0265)","-1.8855 (3.0774)","",""
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","-4.3414 (4.1355)","-5.1349 (4.4202)","-5.1086 (4.3447)","",""
"議員新人割合","教育費シェア%pt (評価点 0.1043)","2.8863 (1.9356)","3.1537 (2.0048)","3.1207 (1.9965)","",""
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2715 (0.3865)","0.2048 (0.3999)","0.2094 (0.3970)","",""
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.2665 (0.2488)","0.2724 (0.2374)","0.2722 (0.2431)","",""
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.6023 (0.4484)","0.2189 (0.4700)","0.2173 (0.4938)","",""
"地域女性割合","教育費シェア%pt (評価点 0.1043)","-9.5165 (164.6104)","-9.4969 (164.6499)","-9.6224 (164.4531)","",""
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0312 (0.0388)","-0.0131 (0.0430)","-0.0134 (0.0421)","",""
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","-10.1184 (80.6897)","-8.7099 (83.4495)","-8.7181 (83.5120)","",""
"政令市_post2017","教育費シェア%pt (評価点 0.1043)","8.1638*** (0.4295)","8.0974*** (0.4262)","8.0959*** (0.4271)","",""
"首長選挙年","教育費シェア%pt (評価点 0.1043)","","0.4677* (0.2477)","0.4650 (0.2794)","",""
"首長選挙年_政令市","教育費シェア%pt (評価点 0.1043)","","-0.2300 (0.2860)","-0.2298 (0.3191)","",""
"議員選挙年","p値","0.4584","","0.9851","","0.9900"
"議員選挙年_政令市","p値","0.7229","","0.8948","","0.9100"
"議会高齢化ギャップ","p値","0.4459","0.5077","0.5046","0.5150","0.5150"
"議会女性ギャップ","p値","0.1875","0.1227","0.1190","0.1350","0.1200"
"議員新人割合","p値","0.1828","0.1638","0.1660","0.2050","0.2050"
"首長X65歳以上割合","p値","0.4883","0.6123","0.6017","0.5750","0.5800"
"首長新人割合","p値","0.2909","0.2580","0.2697","0.3150","0.3250"
"首長女性割合","p値","0.1917","0.6449","0.6633","0.6000","0.5900"
"地域女性割合","p値","0.8856","0.8866","0.8799","0.8950","0.8750"
"経常収支比率.市町村財政.","p値","0.4229","0.7601","0.7513","0.8250","0.8150"
"児童生徒割合","p値","0.6750","0.8321","0.8318","0.8700","0.8650"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***","0.0050***","0.0050***"
"首長選挙年","p値","","0.0657*","0.1043","0.0750*","0.1100"
"首長選挙年_政令市","p値","","0.4176","0.4680","0.3750","0.4950"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度","",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター","",""
"観測数","モデル情報","240","240","240","",""
"自治体数","モデル情報","40","40","40","",""
"年度数","モデル情報","6","6","6","",""
"決定係数","モデル情報","0.6309","0.6404","0.6404","",""
"調整済み決定係数","モデル情報","0.5179","0.5304","0.5252","",""
"F統計量","モデル情報","42.63","41.17","35.32","",""
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16","",""
