"","指標","議員のみ","首長のみ","両方"
"ln総人口_中央化","logit係数","-0.0772 (0.2049)","-0.0522 (0.2034)","-0.0762 (0.2049)"
"factor(議員経過年度)1","logit係数","0.0106 (0.0072)","","0.0118 (0.0074)"
"factor(議員経過年度)2","logit係数","0.0062 (0.0073)","","0.0078 (0.0075)"
"factor(議員経過年度)3","logit係数","0.0124* (0.0075)","","0.0137* (0.0077)"
"議会高齢化ギャップ","logit係数","0.0290 (0.0527)","0.0191 (0.0501)","0.0286 (0.0527)"
"議会女性ギャップ","logit係数","0.0873 (0.1031)","0.0699 (0.1019)","0.0860 (0.1032)"
"議員新人割合","logit係数","-0.0302 (0.0431)","-0.0333 (0.0429)","-0.0304 (0.0431)"
"首長X65歳以上割合","logit係数","0.0240** (0.0116)","0.0243** (0.0116)","0.0239** (0.0116)"
"首長新人割合","logit係数","0.0013 (0.0090)","0.0013 (0.0090)","0.0013 (0.0090)"
"首長女性割合","logit係数","0.0046 (0.0251)","0.0041 (0.0254)","0.0032 (0.0253)"
"地域女性割合","logit係数","3.2077 (2.3516)","3.3569 (2.3463)","3.2319 (2.3524)"
"経常収支比率.市町村財政.","logit係数","-0.0007 (0.0013)","-0.0008 (0.0013)","-0.0007 (0.0013)"
"児童生徒割合","logit係数","3.1260* (1.8501)","3.1352* (1.8541)","3.1362* (1.8523)"
"政令市_post2017","logit係数","0.6196*** (0.0329)","0.6397*** (0.0321)","0.6138*** (0.0331)"
"ln総人口_中央化:factor(議員経過年度)1","logit係数","-0.0104** (0.0043)","","-0.0087* (0.0045)"
"ln総人口_中央化:factor(議員経過年度)2","logit係数","0.0046 (0.0046)","","0.0052 (0.0045)"
"ln総人口_中央化:factor(議員経過年度)3","logit係数","-0.0040 (0.0045)","","-0.0024 (0.0047)"
"factor(首長経過年度)1","logit係数","","-0.0004 (0.0061)","-0.0011 (0.0063)"
"factor(首長経過年度)2","logit係数","","-0.0036 (0.0069)","-0.0047 (0.0070)"
"factor(首長経過年度)3","logit係数","","-0.0020 (0.0065)","-0.0042 (0.0067)"
"ln総人口_中央化:factor(首長経過年度)1","logit係数","","-0.0086** (0.0039)","-0.0060 (0.0040)"
"ln総人口_中央化:factor(首長経過年度)2","logit係数","","-0.0013 (0.0046)","-0.0023 (0.0046)"
"ln総人口_中央化:factor(首長経過年度)3","logit係数","","-0.0065 (0.0045)","-0.0055 (0.0046)"
"ln総人口_中央化","教育費シェア%pt (評価点 0.1043)","-0.6993 (1.9133)","-0.4775 (1.8999)","-0.6905 (1.9132)"
"factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","0.0999 (0.0668)","","0.1109 (0.0688)"
"factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","0.0580 (0.0685)","","0.0734 (0.0701)"
"factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","0.1168* (0.0704)","","0.1288* (0.0722)"
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.2736 (0.4921)","0.1802 (0.4677)","0.2700 (0.4918)"
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8436 (0.9633)","0.6715 (0.9514)","0.8308 (0.9639)"
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2789 (0.4021)","-0.3068 (0.4009)","-0.2809 (0.4024)"
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2266** (0.1083)","0.2294** (0.1084)","0.2253** (0.1084)"
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0125 (0.0841)","0.0124 (0.0841)","0.0118 (0.0842)"
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.0431 (0.2345)","0.0384 (0.2368)","0.0298 (0.2359)"
"地域女性割合","教育費シェア%pt (評価点 0.1043)","63.7854 (21.9620)","66.5362 (21.9129)","64.2456 (21.9694)"
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0069 (0.0122)","-0.0073 (0.0122)","-0.0069 (0.0122)"
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","62.1912* (17.2788)","62.3734* (17.3157)","62.3934* (17.2992)"
"政令市_post2017","教育費シェア%pt (評価点 0.1043)","7.3565*** (0.3072)","7.6530*** (0.2995)","7.2725*** (0.3093)"
"ln総人口_中央化:factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","-0.0969** (0.0405)","","-0.0807* (0.0419)"
"ln総人口_中央化:factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","0.0435 (0.0425)","","0.0491 (0.0423)"
"ln総人口_中央化:factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","-0.0373 (0.0425)","","-0.0226 (0.0436)"
"factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","-0.0036 (0.0573)","-0.0105 (0.0591)"
"factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","-0.0334 (0.0644)","-0.0434 (0.0655)"
"factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","-0.0182 (0.0609)","-0.0395 (0.0623)"
"ln総人口_中央化:factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","-0.0805** (0.0365)","-0.0555 (0.0375)"
"ln総人口_中央化:factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","-0.0121 (0.0434)","-0.0219 (0.0428)"
"ln総人口_中央化:factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","-0.0609 (0.0420)","-0.0515 (0.0432)"
"ln総人口_中央化","p値","0.7063","0.7975","0.7099"
"factor(議員経過年度)1","p値","0.1366","","0.1088"
"factor(議員経過年度)2","p値","0.3986","","0.2970"
"factor(議員経過年度)3","p値","0.0987*","","0.0761*"
"議会高齢化ギャップ","p値","0.5826","0.7022","0.5872"
"議会女性ギャップ","p値","0.3976","0.4924","0.4048"
"議員新人割合","p値","0.4828","0.4380","0.4799"
"首長X65歳以上割合","p値","0.0383**","0.0361**","0.0396**"
"首長新人割合","p値","0.8814","0.8825","0.8887"
"首長女性割合","p値","0.8544","0.8715","0.8995"
"地域女性割合","p値","0.1726","0.1525","0.1695"
"経常収支比率.市町村財政.","p値","0.5710","0.5495","0.5743"
"児童生徒割合","p値","0.0911*","0.0909*","0.0905*"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***"
"ln総人口_中央化:factor(議員経過年度)1","p値","0.0163**","","0.0533*"
"ln総人口_中央化:factor(議員経過年度)2","p値","0.3070","","0.2462"
"ln総人口_中央化:factor(議員経過年度)3","p値","0.3790","","0.6041"
"factor(首長経過年度)1","p値","","0.9500","0.8588"
"factor(首長経過年度)2","p値","","0.6038","0.5066"
"factor(首長経過年度)3","p値","","0.7644","0.5256"
"ln総人口_中央化:factor(首長経過年度)1","p値","","0.0270**","0.1377"
"ln総人口_中央化:factor(首長経過年度)2","p値","","0.7804","0.6085"
"ln総人口_中央化:factor(首長経過年度)3","p値","","0.1464","0.2324"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度"
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター"
"観測数","モデル情報","10242","10242","10242"
"自治体数","モデル情報","1707","1707","1707"
"年度数","モデル情報","6","6","6"
"決定係数","モデル情報","0.0185","0.0173","0.0188"
"調整済み決定係数","モデル情報","-0.1808","-0.1822","-0.1813"
"F統計量","モデル情報","28.40","28.22","21.33"
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16"
