"","指標","議員のみ","首長のみ","両方"
"議員1年_北海道","logit係数","-0.0427 (0.0318)","","-0.0474 (0.0317)"
"議員2年_北海道","logit係数","-0.0163 (0.0406)","","-0.0245 (0.0397)"
"議員3年_北海道","logit係数","0.0213 (0.0334)","","0.0100 (0.0332)"
"議員1年_東北","logit係数","0.0304 (0.0195)","","0.0284 (0.0195)"
"議員2年_東北","logit係数","0.0129 (0.0205)","","0.0148 (0.0200)"
"議員3年_東北","logit係数","0.0170 (0.0203)","","0.0222 (0.0209)"
"議員1年_関東","logit係数","0.0041 (0.0156)","","0.0035 (0.0157)"
"議員2年_関東","logit係数","0.0087 (0.0165)","","0.0090 (0.0166)"
"議員3年_関東","logit係数","0.0153 (0.0172)","","0.0192 (0.0170)"
"議員1年_中部","logit係数","-0.0039 (0.0170)","","0.0023 (0.0181)"
"議員2年_中部","logit係数","-0.0254* (0.0138)","","-0.0222 (0.0154)"
"議員3年_中部","logit係数","-0.0013 (0.0162)","","0.0029 (0.0171)"
"議員1年_近畿","logit係数","0.0089 (0.0166)","","0.0085 (0.0171)"
"議員2年_近畿","logit係数","0.0040 (0.0181)","","0.0071 (0.0185)"
"議員3年_近畿","logit係数","-0.0071 (0.0179)","","-0.0127 (0.0197)"
"議員1年_中国","logit係数","0.0353 (0.0243)","","0.0494* (0.0253)"
"議員2年_中国","logit係数","0.0111 (0.0226)","","0.0251 (0.0244)"
"議員3年_中国","logit係数","0.0477** (0.0216)","","0.0587** (0.0229)"
"議員1年_四国","logit係数","0.0238 (0.0345)","","0.0347 (0.0384)"
"議員2年_四国","logit係数","0.0383 (0.0342)","","0.0469 (0.0350)"
"議員3年_四国","logit係数","-0.0176 (0.0296)","","-0.0028 (0.0311)"
"議員1年_九州","logit係数","0.0019 (0.0184)","","-0.0006 (0.0190)"
"議員2年_九州","logit係数","-0.0043 (0.0187)","","0.0005 (0.0198)"
"議員3年_九州","logit係数","0.0110 (0.0179)","","0.0056 (0.0183)"
"議会高齢化ギャップ","logit係数","0.0201 (0.0530)","0.0154 (0.0508)","0.0230 (0.0531)"
"議会女性ギャップ","logit係数","0.0882 (0.1027)","0.0779 (0.1015)","0.0854 (0.1030)"
"議員新人割合","logit係数","-0.0266 (0.0431)","-0.0263 (0.0430)","-0.0238 (0.0433)"
"首長X65歳以上割合","logit係数","0.0233** (0.0116)","0.0235** (0.0117)","0.0234** (0.0117)"
"首長新人割合","logit係数","0.0019 (0.0091)","0.0024 (0.0091)","0.0023 (0.0091)"
"首長女性割合","logit係数","-0.0057 (0.0249)","-0.0090 (0.0254)","-0.0078 (0.0255)"
"地域女性割合","logit係数","3.0126 (2.3386)","2.9329 (2.3361)","2.9444 (2.3403)"
"経常収支比率.市町村財政.","logit係数","-0.0009 (0.0013)","-0.0009 (0.0013)","-0.0009 (0.0013)"
"児童生徒割合","logit係数","3.2810* (1.8013)","3.2456* (1.8040)","3.2741* (1.8066)"
"首長1年_北海道","logit係数","","0.0038 (0.0208)","0.0107 (0.0208)"
"首長2年_北海道","logit係数","","0.0192 (0.0238)","0.0234 (0.0234)"
"首長3年_北海道","logit係数","","0.0388 (0.0244)","0.0383 (0.0245)"
"首長1年_東北","logit係数","","0.0090 (0.0194)","0.0066 (0.0195)"
"首長2年_東北","logit係数","","0.0043 (0.0221)","0.0025 (0.0220)"
"首長3年_東北","logit係数","","-0.0147 (0.0189)","-0.0163 (0.0193)"
"首長1年_関東","logit係数","","-0.0014 (0.0113)","-0.0010 (0.0117)"
"首長2年_関東","logit係数","","0.0092 (0.0130)","0.0091 (0.0132)"
"首長3年_関東","logit係数","","-0.0166 (0.0124)","-0.0183 (0.0124)"
"首長1年_中部","logit係数","","-0.0194 (0.0134)","-0.0206 (0.0144)"
"首長2年_中部","logit係数","","-0.0160 (0.0144)","-0.0105 (0.0158)"
"首長3年_中部","logit係数","","-0.0188 (0.0141)","-0.0169 (0.0150)"
"首長1年_近畿","logit係数","","0.0054 (0.0169)","0.0023 (0.0174)"
"首長2年_近畿","logit係数","","-0.0165 (0.0204)","-0.0207 (0.0200)"
"首長3年_近畿","logit係数","","0.0167 (0.0216)","0.0175 (0.0230)"
"首長1年_中国","logit係数","","-0.0195 (0.0244)","-0.0274 (0.0246)"
"首長2年_中国","logit係数","","-0.0386 (0.0259)","-0.0450 (0.0279)"
"首長3年_中国","logit係数","","-0.0389* (0.0227)","-0.0542** (0.0235)"
"首長1年_四国","logit係数","","-0.0124 (0.0342)","-0.0174 (0.0381)"
"首長2年_四国","logit係数","","-0.0046 (0.0370)","-0.0203 (0.0386)"
"首長3年_四国","logit係数","","-0.0429 (0.0267)","-0.0449 (0.0284)"
"首長1年_九州","logit係数","","0.0103 (0.0164)","0.0108 (0.0171)"
"首長2年_九州","logit係数","","-0.0214 (0.0170)","-0.0208 (0.0176)"
"首長3年_九州","logit係数","","0.0143 (0.0164)","0.0133 (0.0169)"
"議員1年_北海道","教育費シェア%pt (評価点 0.1043)","-0.3922 (0.2969)","","-0.4341 (0.2960)"
"議員2年_北海道","教育費シェア%pt (評価点 0.1043)","-0.1509 (0.3787)","","-0.2264 (0.3710)"
"議員3年_北海道","教育費シェア%pt (評価点 0.1043)","0.2009 (0.3117)","","0.0937 (0.3105)"
"議員1年_東北","教育費シェア%pt (評価点 0.1043)","0.2870 (0.1823)","","0.2681 (0.1823)"
"議員2年_東北","教育費シェア%pt (評価点 0.1043)","0.1216 (0.1918)","","0.1386 (0.1870)"
"議員3年_東北","教育費シェア%pt (評価点 0.1043)","0.1600 (0.1892)","","0.2095 (0.1952)"
"議員1年_関東","教育費シェア%pt (評価点 0.1043)","0.0385 (0.1460)","","0.0329 (0.1470)"
"議員2年_関東","教育費シェア%pt (評価点 0.1043)","0.0817 (0.1537)","","0.0848 (0.1548)"
"議員3年_関東","教育費シェア%pt (評価点 0.1043)","0.1440 (0.1604)","","0.1807 (0.1586)"
"議員1年_中部","教育費シェア%pt (評価点 0.1043)","-0.0366 (0.1584)","","0.0212 (0.1695)"
"議員2年_中部","教育費シェア%pt (評価点 0.1043)","-0.2345* (0.1286)","","-0.2056 (0.1434)"
"議員3年_中部","教育費シェア%pt (評価点 0.1043)","-0.0118 (0.1516)","","0.0269 (0.1600)"
"議員1年_近畿","教育費シェア%pt (評価点 0.1043)","0.0832 (0.1550)","","0.0793 (0.1601)"
