"","指標","議員のみ","首長のみ","両方"
"議員選挙年_北海道","logit係数","-0.0868*** (0.0207)","","-0.0836*** (0.0212)"
"議員選挙年_東北","logit係数","0.0138 (0.0182)","","0.0133 (0.0180)"
"議員選挙年_関東","logit係数","-0.0272** (0.0119)","","-0.0289** (0.0120)"
"議員選挙年_中部","logit係数","0.0243** (0.0123)","","0.0210 (0.0131)"
"議員選挙年_近畿","logit係数","0.0000 (0.0141)","","0.0000 (0.0145)"
"議員選挙年_中国","logit係数","-0.0351** (0.0174)","","-0.0473*** (0.0180)"
"議員選挙年_四国","logit係数","-0.0128 (0.0279)","","-0.0193 (0.0296)"
"議員選挙年_九州","logit係数","-0.0032 (0.0149)","","-0.0027 (0.0152)"
"議会高齢化ギャップ","logit係数","0.0232 (0.0512)","0.0149 (0.0499)","0.0256 (0.0512)"
"議会女性ギャップ","logit係数","0.0853 (0.1022)","0.0703 (0.1019)","0.0851 (0.1024)"
"議員新人割合","logit係数","-0.0294 (0.0430)","-0.0332 (0.0430)","-0.0289 (0.0430)"
"首長X65歳以上割合","logit係数","0.0245** (0.0117)","0.0249** (0.0117)","0.0244** (0.0117)"
"首長新人割合","logit係数","0.0010 (0.0091)","0.0012 (0.0091)","0.0012 (0.0091)"
"首長女性割合","logit係数","0.0009 (0.0252)","-0.0004 (0.0257)","-0.0006 (0.0255)"
"地域女性割合","logit係数","3.7472 (2.3573)","3.6881 (2.3622)","3.7163 (2.3589)"
"経常収支比率.市町村財政.","logit係数","-0.0010 (0.0013)","-0.0011 (0.0013)","-0.0010 (0.0013)"
"児童生徒割合","logit係数","3.1350* (1.8400)","3.1946* (1.8493)","3.1640* (1.8419)"
"首長選挙年_北海道","logit係数","","-0.0327* (0.0186)","-0.0166 (0.0188)"
"首長選挙年_東北","logit係数","","0.0003 (0.0163)","-0.0016 (0.0162)"
"首長選挙年_関東","logit係数","","0.0049 (0.0101)","0.0080 (0.0101)"
"首長選挙年_中部","logit係数","","0.0156 (0.0116)","0.0107 (0.0124)"
"首長選挙年_近畿","logit係数","","-0.0012 (0.0160)","-0.0014 (0.0165)"
"首長選挙年_中国","logit係数","","0.0364* (0.0207)","0.0487** (0.0209)"
"首長選挙年_四国","logit係数","","0.0182 (0.0250)","0.0231 (0.0261)"
