"","指標","議員のみ","首長のみ","両方"
"議員選挙年_北海道","logit係数","0.0139 (0.0300)","","0.0210 (0.0297)"
"議員選挙年_東北","logit係数","-0.0196 (0.0158)","","-0.0206 (0.0157)"
"議員選挙年_関東","logit係数","-0.0092 (0.0134)","","-0.0100 (0.0135)"
"議員選挙年_中部","logit係数","0.0120 (0.0131)","","0.0069 (0.0139)"
"議員選挙年_近畿","logit係数","-0.0018 (0.0140)","","-0.0013 (0.0146)"
"議員選挙年_中国","logit係数","-0.0327* (0.0175)","","-0.0428** (0.0180)"
"議員選挙年_四国","logit係数","-0.0141 (0.0267)","","-0.0221 (0.0291)"
"議員選挙年_九州","logit係数","-0.0029 (0.0150)","","-0.0024 (0.0154)"
"議会高齢化ギャップ","logit係数","0.0180 (0.0519)","0.0141 (0.0505)","0.0200 (0.0519)"
"議会女性ギャップ","logit係数","0.0862 (0.1020)","0.0803 (0.1015)","0.0868 (0.1022)"
"議員新人割合","logit係数","-0.0266 (0.0430)","-0.0286 (0.0429)","-0.0260 (0.0431)"
"首長X65歳以上割合","logit係数","0.0232** (0.0116)","0.0233** (0.0116)","0.0232** (0.0116)"
"首長新人割合","logit係数","0.0022 (0.0091)","0.0022 (0.0091)","0.0023 (0.0091)"
"首長女性割合","logit係数","-0.0064 (0.0251)","-0.0083 (0.0250)","-0.0076 (0.0253)"
"地域女性割合","logit係数","3.0338 (2.3360)","2.9806 (2.3366)","3.0002 (2.3383)"
"経常収支比率.市町村財政.","logit係数","-0.0009 (0.0013)","-0.0009 (0.0013)","-0.0009 (0.0013)"
"児童生徒割合","logit係数","3.2739* (1.8004)","3.2903* (1.8022)","3.3119* (1.8033)"
"首長選挙年_北海道","logit係数","","-0.0203 (0.0182)","-0.0232 (0.0178)"
"首長選挙年_東北","logit係数","","0.0010 (0.0168)","0.0037 (0.0168)"
"首長選挙年_関東","logit係数","","0.0033 (0.0099)","0.0043 (0.0100)"
"首長選挙年_中部","logit係数","","0.0182 (0.0116)","0.0165 (0.0123)"
"首長選挙年_近畿","logit係数","","-0.0026 (0.0166)","-0.0024 (0.0171)"
"首長選挙年_中国","logit係数","","0.0315 (0.0202)","0.0415** (0.0201)"
"首長選挙年_四国","logit係数","","0.0212 (0.0259)","0.0266 (0.0277)"
"首長選挙年_九州","logit係数","","-0.0023 (0.0129)","-0.0017 (0.0131)"
"議員選挙年_北海道","教育費シェア%pt (評価点 0.1043)","0.1301 (0.2806)","","0.1979 (0.2774)"
"議員選挙年_東北","教育費シェア%pt (評価点 0.1043)","-0.1814 (0.1476)","","-0.1905 (0.1463)"
"議員選挙年_関東","教育費シェア%pt (評価点 0.1043)","-0.0853 (0.1254)","","-0.0929 (0.1265)"
"議員選挙年_中部","教育費シェア%pt (評価点 0.1043)","0.1131 (0.1219)","","0.0644 (0.1298)"
"議員選挙年_近畿","教育費シェア%pt (評価点 0.1043)","-0.0172 (0.1309)","","-0.0124 (0.1361)"
"議員選挙年_中国","教育費シェア%pt (評価点 0.1043)","-0.3018* (0.1630)","","-0.3932** (0.1681)"
"議員選挙年_四国","教育費シェア%pt (評価点 0.1043)","-0.1309 (0.2497)","","-0.2048 (0.2715)"
