"","指標","議員のみ","首長のみ","両方","両方(ブートストラップp値)"
"factor(議員経過年度)1","logit係数","0.0117 (0.0072)","","0.0126* (0.0074)",""
"factor(議員経過年度)2","logit係数","0.0058 (0.0074)","","0.0073 (0.0076)",""
"factor(議員経過年度)3","logit係数","0.0123 (0.0075)","","0.0132* (0.0078)",""
"議員1年_政令市","logit係数","-0.2527*** (0.0668)","","-0.2280*** (0.0783)",""
"議員2年_政令市","logit係数","0.0791* (0.0445)","","0.0697* (0.0386)",""
"議員3年_政令市","logit係数","0.1011** (0.0407)","","0.1210* (0.0621)",""
"議会高齢化ギャップ","logit係数","0.0244 (0.0522)","0.0139 (0.0500)","0.0245 (0.0522)",""
"議会女性ギャップ","logit係数","0.0881 (0.1032)","0.0706 (0.1018)","0.0877 (0.1033)",""
"議員新人割合","logit係数","-0.0305 (0.0431)","-0.0328 (0.0430)","-0.0303 (0.0431)",""
"首長X65歳以上割合","logit係数","0.0242** (0.0116)","0.0244** (0.0117)","0.0239** (0.0116)",""
"首長新人割合","logit係数","0.0013 (0.0091)","0.0009 (0.0091)","0.0011 (0.0091)",""
"首長女性割合","logit係数","0.0044 (0.0254)","0.0034 (0.0254)","0.0040 (0.0256)",""
"地域女性割合","logit係数","3.6858 (2.3582)","3.6802 (2.3585)","3.6810 (2.3592)",""
"経常収支比率.市町村財政.","logit係数","-0.0010 (0.0013)","-0.0010 (0.0013)","-0.0009 (0.0013)",""
"児童生徒割合","logit係数","3.1192* (1.8452)","3.1722* (1.8469)","3.1225* (1.8454)",""
"factor(首長経過年度)1","logit係数","","0.0002 (0.0062)","-0.0019 (0.0065)",""
"factor(首長経過年度)2","logit係数","","-0.0031 (0.0070)","-0.0045 (0.0071)",""
"factor(首長経過年度)3","logit係数","","-0.0015 (0.0066)","-0.0042 (0.0068)",""
"首長1年_政令市","logit係数","","-0.1855*** (0.0502)","-0.0768 (0.0534)",""
"首長2年_政令市","logit係数","","-0.1233*** (0.0458)","-0.0398 (0.0327)",""
"首長3年_政令市","logit係数","","-0.2031*** (0.0515)","-0.0595 (0.0463)",""
"factor(議員経過年度)1","教育費シェア%pt (評価点 0.1043)","0.1099 (0.0671)","","0.1179* (0.0694)",""
"factor(議員経過年度)2","教育費シェア%pt (評価点 0.1043)","0.0546 (0.0689)","","0.0679 (0.0710)",""
"factor(議員経過年度)3","教育費シェア%pt (評価点 0.1043)","0.1153 (0.0704)","","0.1240* (0.0726)",""
"議員1年_政令市","教育費シェア%pt (評価点 0.1043)","-2.1353*** (0.6240)","","-1.9455*** (0.7315)",""
"議員2年_政令市","教育費シェア%pt (評価点 0.1043)","0.7626* (0.4154)","","0.6687* (0.3602)",""
"議員3年_政令市","教育費シェア%pt (評価点 0.1043)","0.9824** (0.3799)","","1.1859* (0.5804)",""
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.2301 (0.4878)","0.1306 (0.4674)","0.2312 (0.4879)",""
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8516 (0.9637)","0.6777 (0.9506)","0.8478 (0.9643)",""
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2818 (0.4021)","-0.3026 (0.4013)","-0.2798 (0.4027)",""
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2283** (0.1087)","0.2299** (0.1089)","0.2257** (0.1087)",""
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0117 (0.0845)","0.0081 (0.0847)","0.0107 (0.0846)",""
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.0412 (0.2377)","0.0314 (0.2374)","0.0374 (0.2388)",""
"地域女性割合","教育費シェア%pt (評価点 0.1043)","71.8487 (22.0240)","71.7672 (22.0267)","71.7778 (22.0329)",""
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0090 (0.0122)","-0.0098 (0.0122)","-0.0088 (0.0122)",""
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","62.0562* (17.2325)","63.0989* (17.2486)","62.1214* (17.2351)",""
"factor(首長経過年度)1","教育費シェア%pt (評価点 0.1043)","","0.0015 (0.0581)","-0.0174 (0.0605)",""
"factor(首長経過年度)2","教育費シェア%pt (評価点 0.1043)","","-0.0288 (0.0650)","-0.0416 (0.0667)",""
"factor(首長経過年度)3","教育費シェア%pt (評価点 0.1043)","","-0.0140 (0.0616)","-0.0392 (0.0635)",""
"首長1年_政令市","教育費シェア%pt (評価点 0.1043)","","-1.6097*** (0.4688)","-0.6960 (0.4989)",""
"首長2年_政令市","教育費シェア%pt (評価点 0.1043)","","-1.0964*** (0.4273)","-0.3662 (0.3058)",""
"首長3年_政令市","教育費シェア%pt (評価点 0.1043)","","-1.7501*** (0.4806)","-0.5429 (0.4320)",""
"factor(議員経過年度)1","p値","0.1031","","0.0912*","0.1100"
"factor(議員経過年度)2","p値","0.4287","","0.3403","0.3950"
"factor(議員経過年度)3","p値","0.1030","","0.0892*","0.0900*"
"議員1年_政令市","p値","0.0002***","","0.0036***","0.1000*"
"議員2年_政令市","p値","0.0752*","","0.0710*","0.1200"
"議員3年_政令市","p値","0.0130**","","0.0515*","0.0550*"
"議会高齢化ギャップ","p値","0.6403","0.7811","0.6388","0.6100"
"議会女性ギャップ","p値","0.3934","0.4882","0.3958","0.4350"
"議員新人割合","p値","0.4782","0.4449","0.4818","0.4950"
"首長X65歳以上割合","p値","0.0375**","0.0366**","0.0398**","0.0450**"
"首長新人割合","p値","0.8899","0.9240","0.8992","0.8900"
"首長女性割合","p値","0.8625","0.8949","0.8758","0.8800"
"地域女性割合","p値","0.1181","0.1187","0.1187","0.1800"
"経常収支比率.市町村財政.","p値","0.4611","0.4250","0.4722","0.4550"
"児童生徒割合","p値","0.0910*","0.0859*","0.0907*","0.1000*"
"factor(首長経過年度)1","p値","","0.9800","0.7731","0.7800"
"factor(首長経過年度)2","p値","","0.6579","0.5324","0.5500"
"factor(首長経過年度)3","p値","","0.8205","0.5365","0.5750"
"首長1年_政令市","p値","","0.0002***","0.1504","0.2100"
