,指標,議員のみ,首長のみ,両方,両方(ブートストラップp値),,,,,,,,,,,,,
factor(議員経過年度)1,logit係数,0.0113 (0.0072),,0.0124* (0.0074),,,,,,,,,,,,,,
factor(議員経過年度)2,logit係数,0.0052 (0.0074),,0.0070 (0.0076),,,,,,,,,,,,,,
factor(議員経過年度)3,logit係数,0.0120 (0.0075),,0.0130* (0.0078),,,,,,,,,,,,,,
議員1年_特別区,logit係数,-0.0398 (0.0332),,-0.0763** (0.0323),,,,,,,,,,,,,,
議員2年_特別区,logit係数,0.0695* (0.0377),,0.0537 (0.0372),,,,,,,,,,,,,,
議員3年_特別区,logit係数,0.0531 (0.0366),,0.0844** (0.0355),,,,,,,,,,,,,,
議会高齢化ギャップ,logit係数,0.0297 (0.0522),0.0201 (0.0500),0.0300 (0.0522),,,,,,,,,,,,,,
議会女性ギャップ,logit係数,0.0867 (0.1031),0.0707 (0.1018),0.0850 (0.1032),,,,,,,,,,,,,,
議員新人割合,logit係数,-0.0299 (0.0430),-0.0325 (0.0429),-0.0300 (0.0431),,,,,,,,,,,,,,
首長X65歳以上割合,logit係数,0.0244** (0.0116),0.0242** (0.0116),0.0242** (0.0116),,,,,,,,,,,,,,
首長新人割合,logit係数,0.0015 (0.0090),0.0013 (0.0090),0.0015 (0.0090),,,,,,,,,,,,,,
首長女性割合,logit係数,0.0053 (0.0254),0.0041 (0.0254),0.0041 (0.0255),,,,,,,,,,,,,,
地域女性割合,logit係数,3.3052 (2.3431),3.3012 (2.3435),3.3027 (2.3442),,,,,,,,,,,,,,
経常収支比率.市町村財政.,logit係数,-0.0008 (0.0013),-0.0008 (0.0013),-0.0008 (0.0013),,,,,,,,,,,,,,
児童生徒割合,logit係数,3.0303 (1.8436),3.0891* (1.8440),3.0325 (1.8438),,,,,,,,,,,,,,
政令市_post2017,logit係数,0.6506*** (0.0316),0.6482*** (0.0314),0.6496*** (0.0316),,,,,,,,,,,,,,
factor(首長経過年度)1,logit係数,,-0.0004 (0.0062),-0.0024 (0.0065),,,,,,,,,,,,,,
factor(首長経過年度)2,logit係数,,-0.0046 (0.0070),-0.0059 (0.0071),,,,,,,,,,,,,,
factor(首長経過年度)3,logit係数,,-0.0021 (0.0066),-0.0046 (0.0068),,,,,,,,,,,,,,
首長1年_特別区,logit係数,,0.0146 (0.0418),0.0473 (0.0317),,,,,,,,,,,,,,
首長2年_特別区,logit係数,,0.0750* (0.0412),0.0429 (0.0408),,,,,,,,,,,,,,
首長3年_特別区,logit係数,,0.0141 (0.0327),-0.00186501,,,,,,,,,,,,,,
factor(議員経過年度)1,教育費シェア%pt (評価点 0.1043),0.1056 (0.0669),,0.1161* (0.0692),,,,,,,,,,,,,,
factor(議員経過年度)2,教育費シェア%pt (評価点 0.1043),0.0491 (0.0688),,0.0653 (0.0708),,,,,,,,,,,,,,
factor(議員経過年度)3,教育費シェア%pt (評価点 0.1043),0.1123 (0.0703),,0.1217* (0.0725),,,,,,,,,,,,,,
議員1年_特別区,教育費シェア%pt (評価点 0.1043),-0.3657 (0.3097),,-0.6915** (0.3018),,,,,,,,,,,,,,
議員2年_特別区,教育費シェア%pt (評価点 0.1043),0.6673* (0.3517),,0.5123 (0.3475),,,,,,,,,,,,,,
議員3年_特別区,教育費シェア%pt (評価点 0.1043),0.5060 (0.3418),,0.8152** (0.3316),,,,,,,,,,,,,,
議会高齢化ギャップ,教育費シェア%pt (評価点 0.1043),0.2807 (0.4872),0.1889 (0.4667),0.2838 (0.4872),,,,,,,,,,,,,,
議会女性ギャップ,教育費シェア%pt (評価点 0.1043),0.8375 (0.9633),0.6791 (0.9509),0.8208 (0.9642),,,,,,,,,,,,,,
議員新人割合,教育費シェア%pt (評価点 0.1043),-0.2761 (0.4017),-0.2996 (0.4010),-0.2771 (0.4022),,,,,,,,,,,,,,
首長X65歳以上割合,教育費シェア%pt (評価点 0.1043),0.2302** (0.1083),0.2284** (0.1084),0.2279** (0.1084),,,,,,,,,,,,,,
首長新人割合,教育費シェア%pt (評価点 0.1043),0.0138 (0.0841),0.0124 (0.0841),0.0137 (0.0841),,,,,,,,,,,,,, 
首長女性割合,教育費シェア%pt (評価点 0.1043),0.0500 (0.2371),0.0382 (0.2369),0.0382 (0.2377),,,,,,,,,,,,,,
地域女性割合,教育費シェア%pt (評価点 0.1043),65.6067 (21.8834),65.5328 (21.8863),65.5606 (21.8932),,,,,,,,,,,,,,
経常収支比率.市町村財政.,教育費シェア%pt (評価点 0.1043),-0.0077 (0.0122),-0.0077 (0.0122),-0.0075 (0.0122),,,,,,,,,,,,,,
児童生徒割合,教育費シェア%pt (評価点 0.1043),60.2470 (17.2177),61.4503* (17.2221),60.2923 (17.2194),,,,,,,,,,,,,,
政令市_post2017,教育費シェア%pt (評価点 0.1043),7.8139*** (0.2947),7.7784*** (0.2931),7.7994*** (0.2951),,,,,,,,,,,,,,
factor(首長経過年度)1,教育費シェア%pt (評価点 0.1043),,-0.0033 (0.0581),-0.0222 (0.0603),,,,,,,,,,,,,,
factor(首長経過年度)2,教育費シェア%pt (評価点 0.1043),,-0.0430 (0.0650),-0.0550 (0.0665),,,,,,,,,,,,,,
factor(首長経過年度)3,教育費シェア%pt (評価点 0.1043),,-0.0192 (0.0616),-0.0432 (0.0635),,,,,,,,,,,,,,
首長1年_特別区,教育費シェア%pt (評価点 0.1043),,0.1375 (0.3901),0.4497 (0.2958),,,,,,,,,,,,,,
首長2年_特別区,教育費シェア%pt (評価点 0.1043),,0.7220* (0.3847),0.4079 (0.3812),,,,,,,,,,,,,,
首長3年_特別区,教育費シェア%pt (評価点 0.1043),,0.1322 (0.3051),-0.15886164,,,,,,,,,,,,,,
factor(議員経過年度)1,p値,0.1163,,0.0949*,0.115,,,,,,,,,,,,,
factor(議員経過年度)2,p値,0.4767,,0.358,0.4,,,,,,,,,,,,,
factor(議員経過年度)3,p値,0.112,,0.0948*,0.1000*,,,,,,,,,,,,,
議員1年_特別区,p値,0.2304,,0.0182**,0.0450**,,,,,,,,,,,,,
議員2年_特別区,p値,0.0649*,,0.149,0.19,,,,,,,,,,,,,
議員3年_特別区,p値,0.1471,,0.0174**,0.0350**,,,,,,,,,,,,,
議会高齢化ギャップ,p値,0.569,0.688,0.5648,0.49,,,,,,,,,,,,,
議会女性ギャップ,p値,0.4009,0.4874,0.4104,0.455,,,,,,,,,,,,,
議員新人割合,p値,0.4868,0.4492,0.4857,0.515,,,,,,,,,,,,,
首長X65歳以上割合,p値,0.0354**,0.0370**,0.0374**,0.0450**,,,,,,,,,,,,,
首長新人割合,p値,0.8696,0.8825,0.8703,0.87,,,,,,,,,,,,,
首長女性割合,p値,0.8335,0.872,0.8725,0.87,,,,,,,,,,,,,
地域女性割合,p値,0.1584,0.159,0.1589,0.23,,,,,,,,,,,,,
経常収支比率.市町村財政.,p値,0.5301,0.5289,0.5369,0.495,,,,,,,,,,,,,
児童生徒割合,p値,0.1003,0.0939*,0.1001,0.11,,,,,,,,,,,,,
政令市_post2017,p値,0.0000***,0.0000***,0.0000***,0.0050***,,,,,,,,,,,,,
factor(首長経過年度)1,p値,,0.9542,0.7129,0.695,,,,,,,,,,,,,
factor(首長経過年度)2,p値,,0.5079,0.4069,0.44,,,,,,,,,,,,,
factor(首長経過年度)3,p値,,0.755,0.4954,0.55,,,,,,,,,,,,,
首長1年_特別区,p値,,0.726,0.1357,0.225,,,,,,,,,,,,,
首長2年_特別区,p値,,0.0685*,0.2929,0.41,,,,,,,,,,,,,
首長3年_特別区,p値,,0.6665,0.0698*,0.12,,,,,,,,,,,,,
固定効果,モデル情報,自治体・年度,自治体・年度,自治体・年度,,,,,,,,,,,,,,
標準誤差,モデル情報,自治体クラスター,自治体クラスター,自治体クラスター,,,,,,,,,,,,,,
観測数,モデル情報,10242,10242,10242,,,,,,,,,,,,,,
自治体数,モデル情報,1707,1707,1707,,,,,,,,,,,,,,
年度数,モデル情報,6,6,6,,,,,,,,,,,,,,
決定係数,モデル情報,0.0175,0.0169,0.0179,,,,,,,,,,,,,,
調整済み決定係数,モデル情報,-0.1818,-0.1825,-0.1821,,,,,,,,,,,,,,
F統計量,モデル情報,29.49,29.26,21.83,,,,,,,,,,,,,,
F検定のp値,モデル情報,<2e-16,<2e-16,<2e-16,,,,,,,,,,,,,,
