"","指標","議員のみ","首長のみ","両方","首長のみ(ブートストラップp値)","両方(ブートストラップp値)"
"議員選挙年","logit係数","-0.0093 (0.0061)","","-0.0108* (0.0063)","",""
"議員選挙年_特別区","logit係数","-0.0255 (0.0281)","","-0.0117 (0.0230)","",""
"議会高齢化ギャップ","logit係数","0.0219 (0.0512)","0.0134 (0.0499)","0.0227 (0.0512)","",""
"議会女性ギャップ","logit係数","0.0855 (0.1027)","0.0714 (0.1018)","0.0861 (0.1028)","",""
"議員新人割合","logit係数","-0.0307 (0.0430)","-0.0330 (0.0430)","-0.0305 (0.0430)","",""
"首長X65歳以上割合","logit係数","0.0247** (0.0117)","0.0246** (0.0117)","0.0244** (0.0117)","",""
"首長新人割合","logit係数","0.0010 (0.0091)","0.0009 (0.0091)","0.0009 (0.0091)","",""
"首長女性割合","logit係数","0.0006 (0.0254)","-0.0003 (0.0254)","-0.0006 (0.0254)","",""
"地域女性割合","logit係数","3.7546 (2.3608)","3.7235 (2.3601)","3.7519 (2.3614)","",""
"経常収支比率.市町村財政.","logit係数","-0.0011 (0.0013)","-0.0011 (0.0013)","-0.0011 (0.0013)","",""
"児童生徒割合","logit係数","3.1450* (1.8459)","3.1650* (1.8467)","3.1390* (1.8457)","",""
"首長選挙年","logit係数","","0.0037 (0.0054)","0.0058 (0.0055)","",""
"首長選挙年_特別区","logit係数","","-0.0379 (0.0303)","-0.0312 (0.0277)","",""
"議員選挙年","教育費シェア%pt (評価点 0.1043)","-0.0864 (0.0572)","","-0.1005* (0.0586)","",""
"議員選挙年_特別区","教育費シェア%pt (評価点 0.1043)","-0.2359 (0.2622)","","-0.1083 (0.2149)","",""
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.2063 (0.4777)","0.1257 (0.4658)","0.2140 (0.4777)","",""
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8259 (0.9592)","0.6864 (0.9506)","0.8317 (0.9599)","",""
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2836 (0.4016)","-0.3044 (0.4013)","-0.2810 (0.4018)","",""
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2331** (0.1090)","0.2318** (0.1091)","0.2305** (0.1091)","",""
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0093 (0.0848)","0.0084 (0.0848)","0.0084 (0.0848)","",""
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.0057 (0.2370)","-0.0024 (0.2377)","-0.0055 (0.2376)","",""
"地域女性割合","教育費シェア%pt (評価点 0.1043)","72.8293 (22.0478)","72.3912 (22.0415)","72.7926 (22.0543)","",""
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0104 (0.0123)","-0.0102 (0.0123)","-0.0103 (0.0123)","",""
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","62.5659* (17.2393)","62.9585* (17.2470)","62.4475* (17.2371)","",""
"首長選挙年","教育費シェア%pt (評価点 0.1043)","","0.0349 (0.0502)","0.0543 (0.0514)","",""
"首長選挙年_特別区","教育費シェア%pt (評価点 0.1043)","","-0.3486 (0.2830)","-0.2874 (0.2583)","",""
"議員選挙年","p値","0.1297","","0.0849*","","0.1300"
"議員選挙年_特別区","p値","0.3635","","0.6126","","0.6300"
"議会高齢化ギャップ","p値","0.6686","0.7885","0.6571","0.7400","0.6100"
"議会女性ギャップ","p値","0.4052","0.4827","0.4024","0.4950","0.4500"
"議員新人割合","p値","0.4747","0.4423","0.4791","0.4550","0.4900"
"首長X65歳以上割合","p値","0.0342**","0.0354**","0.0364**","0.0450**","0.0450**"
"首長新人割合","p値","0.9127","0.9213","0.9208","0.9200","0.9250"
"首長女性割合","p値","0.9807","0.9920","0.9817","0.9800","0.9650"
"地域女性割合","p値","0.1118","0.1147","0.1121","0.1750","0.1800"
"経常収支比率.市町村財政.","p値","0.3975","0.4041","0.4024","0.3900","0.3900"
"児童生徒割合","p値","0.0885*","0.0866*","0.0890*","0.0950*","0.1000*"
"首長選挙年","p値","","0.4875","0.2918","0.4950","0.2900"
"首長選挙年_特別区","p値","","0.2112","0.2600","0.2900","0.3800"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度","",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター","",""
"観測数","モデル情報","10242","10242","10242","",""
"自治体数","モデル情報","1707","1707","1707","",""
"年度数","モデル情報","6","6","6","",""
"決定係数","モデル情報","0.0039","0.0038","0.0040","",""
"調整済み決定係数","モデル情報","-0.1974","-0.1976","-0.1976","",""
"F統計量","モデル情報","1.55","1.45","1.43","",""
"F検定のp値","モデル情報","0.106","0.146","0.139","",""
