"投票日","選挙名","市区町村","都道府県","議会議員","首長","補欠選挙","再選挙","候補者数","年齢中央値","年齢最小値","年齢平均値","男性数","女性数","新人割合","65歳以上割合","自民公明割合","共産社民割合","無所属割合","データ上候補者数"
"2012/1/15","中之条町長選挙","中之条町","群馬県",0,1,0,0,1,63,63,63,1,0,1,0,0,0,1,1
"2012/1/15","八百津町長選挙","八百津町","岐阜県",0,1,0,0,4,65,65,65,1,0,0,1,0,0,1,4
"2012/1/15","姶良市議会議員補欠選挙（蒲生選挙区）","姶良市","鹿児島県",1,0,1,0,1,44,44,44,1,0,1,0,0,0,1,1
"2012/1/15","泊村長選挙","泊村","北海道",0,1,0,0,1,65,65,65,1,0,0,1,0,0,1,1
"2012/1/15","田子町議会議員補欠選挙","田子町","青森県",1,0,1,0,2,56,56,56,1,0,1,0,0,0,1,2
"2012/1/15","田子町長選挙","田子町","青森県",0,1,0,0,2,47,47,47,1,0,1,0,0,0,1,2
"2012/1/15","葉山町議会議員補欠選挙","葉山町","神奈川県",1,0,1,0,4,54.5,47,54.5,2,0,0,0,0,0.5,0.5,4
"2012/1/15","葉山町長選挙","葉山町","神奈川県",0,1,0,0,3,34,34,34,1,0,1,0,0,0,1,3
"2012/1/22","中津川市長選挙","中津川市","岐阜県",0,1,0,0,5,60,60,60,1,0,1,0,0,0,1,5
"2012/1/22","井川町議会議員選挙","井川町","秋田県",1,0,0,0,12,59,41,59.75,12,0,0.166666666666667,0.333333333333333,0,0.0833333333333333,0.833333333333333,12
"2012/1/22","八王子市長選挙","八王子市","東京都",0,1,0,0,3,54,54,54,1,0,1,0,0,0,1,3
"2012/1/22","六戸町長選挙","六戸町","青森県",0,1,0,0,1,61,61,61,1,0,0,0,0,0,1,1
"2012/1/22","出雲崎町長選挙","出雲崎町","新潟県",0,1,0,0,1,78,78,78,1,0,0,1,0,0,1,1
"2012/1/22","名取市議会議員選挙","名取市","宮城県",1,0,0,0,29,60,30,56.9523809523809,19,2,0.19047619047619,0.142857142857143,0.0952380952380952,0.142857142857143,0.714285714285714,29
"2012/1/22","大刀洗町長選挙","大刀洗町","福岡県",0,1,0,0,1,67,67,67,1,0,0,1,0,0,1,1
"2012/1/22","大津市長選挙","大津市","滋賀県",0,1,0,0,3,36,36,36,0,1,1,0,0,1,0,3
"2012/1/22","小野町議会議員選挙","小野町","福島県",1,0,0,0,13,59,43,58.6666666666667,12,0,0.5,0.25,0,0,1,13
"2012/1/22","府中市長選挙","府中市","東京都",0,1,0,0,2,50,50,50,1,0,1,0,0,0,1,2
"2012/1/22","当麻町長選挙","当麻町","北海道",0,1,0,0,2,65,65,65,1,0,0,1,0,0,1,2
"2012/1/22","東海村議会議員選挙","東海村","茨城県",1,0,0,0,21,59,37,57.7,17,3,0.25,0.2,0.1,0.1,0.75,21
"2012/1/22","熊取町長選挙","熊取町","大阪府",0,1,0,0,1,59,59,59,1,0,0,0,0,0,1,1
"2012/1/22","玉村町長選挙","玉村町","群馬県",0,1,0,0,2,68,68,68,1,0,0,1,0,0,1,2
"2012/1/22","色麻町議会議員選挙","色麻町","宮城県",1,0,0,0,18,61.5,52,62.4375,16,0,0.125,0.3125,0,0.0625,0.9375,18
"2012/1/22","那須塩原市議会議員補欠選挙","那須塩原市","栃木県",1,0,1,0,2,72,72,72,1,0,0,1,0,0,1,2
"2012/1/22","那須塩原市長選挙","那須塩原市","栃木県",0,1,0,0,2,68,68,68,1,0,1,1,0,0,1,2
"2012/1/22","須坂市長選挙","須坂市","長野県",0,1,0,0,2,62,62,62,1,0,0,0,0,0,1,2
"2012/1/22","須崎市長選挙","須崎市","高知県",0,1,0,0,2,51,51,51,1,0,1,0,0,0,1,2
"2012/1/22","駒ヶ根市長選挙","駒ヶ根市","長野県",0,1,0,0,1,62,62,62,1,0,0,0,0,0,1,1
"2012/1/29","印南町長選挙","印南町","和歌山県",0,1,0,0,2,60,60,60,1,0,1,0,0,0,1,2
"2012/1/29","取手市議会議員選挙","取手市","茨城県",1,0,0,0,31,53.5,32,53.1538461538462,19,7,0.230769230769231,0.230769230769231,0.153846153846154,0.153846153846154,0.576923076923077,31
"2012/1/29","吉川市議会議員選挙","吉川市","埼玉県",1,0,0,0,26,59,25,55.9,18,2,0.2,0.25,0.35,0.2,0.4,26
"2012/1/29","吉野町議会議員補欠選挙","吉野町","奈良県",1,0,1,0,1,51,51,51,1,0,0,0,0,0,0,1
"2012/1/29","吉野町長選挙","吉野町","奈良県",0,1,0,0,1,55,55,55,1,0,0,0,0,0,1,1
"2012/1/29","岩国市長選挙","岩国市","山口県",0,1,0,0,3,41,41,41,1,0,0,0,0,0,1,3
"2012/1/29","御殿場市議会議員選挙","御殿場市","静岡県",1,0,0,0,27,62,44,60.304347826087,20,3,0.478260869565217,0.347826086956522,0.130434782608696,0.0434782608695652,0.826086956521739,27
"2012/1/29","潮来市議会議員選挙","潮来市","茨城県",1,0,0,0,20,62.5,34,61.5555555555556,16,2,0.111111111111111,0.444444444444444,0.0555555555555556,0,0.944444444444444,20
"2012/1/29","甲良町議会議員選挙","甲良町","滋賀県",1,0,0,0,14,61,45,59.25,12,0,0.166666666666667,0.25,0,0.0833333333333333,0.916666666666667,14
"2012/10/14","久山町長選挙","久山町","福岡県",0,1,0,0,1,63,63,63,1,0,0,0,0,0,1,1
"2012/10/14","九重町長選挙","九重町","大分県",0,1,0,0,1,71,71,71,1,0,0,1,0,0,1,1
"2012/10/14","南部町議会議員選挙","南部町","鳥取県",1,0,0,0,15,60,43,60,12,2,0.214285714285714,0.357142857142857,0.0714285714285714,0.214285714285714,0.714285714285714,15
"2012/10/14","南部町長選挙","南部町","鳥取県",0,1,0,0,2,63,63,63,1,0,0,0,0,0,1,2
"2012/10/14","大河原町長選挙","大河原町","宮城県",0,1,0,0,2,64,64,64,1,0,1,0,0,0,1,2
"2012/10/14","安芸太田町長選挙","安芸太田町","広島県",0,1,0,0,2,63,63,63,1,0,0,0,0,0,1,2
"2012/10/14","川場村議会議員補欠選挙","川場村","群馬県",1,0,1,0,4,62,62,62,2,0,1,0,0,0,1,4
"2012/10/14","昭島市長選挙","昭島市","東京都",0,1,0,0,2,69,69,69,1,0,0,1,0,0,1,2
"2012/10/14","森町長選挙","森町","北海道",0,1,0,0,4,56,56,56,1,0,1,0,0,0,1,4
"2012/10/14","波佐見町議会議員選挙","波佐見町","長崎県",1,0,0,0,16,62,47,60.7857142857143,13,1,0.214285714285714,0.285714285714286,0,0,1,16
"2012/10/14","湖南市長選挙","湖南市","滋賀県",0,1,0,0,2,46,46,46,1,0,0,0,0,0,1,2
"2012/10/14","甲賀市長選挙","甲賀市","滋賀県",0,1,0,0,2,64,64,64,1,0,0,0,0,0,1,2
"2012/10/14","美郷町議会議員補欠選挙","美郷町","島根県",1,0,1,0,2,62,57,62,2,0,1,0.5,0,0,1,2
"2012/10/14","美郷町長選挙","美郷町","島根県",0,1,0,0,2,73,73,73,1,0,1,1,0,0,1,2
"2012/10/14","能勢町長選挙","能勢町","大阪府",0,1,0,0,2,60,60,60,1,0,1,0,0,0,1,2
"2012/10/14","蘭越町長選挙","蘭越町","北海道",0,1,0,0,1,75,75,75,1,0,0,1,0,0,1,1
"2012/10/14","袖ケ浦市議会議員選挙","袖ケ浦市","千葉県",1,0,0,0,30,56,35,53.5416666666667,19,5,0.375,0.208333333333333,0.0833333333333333,0.0833333333333333,0.833333333333333,30
"2012/10/14","遠別町長選挙","遠別町","北海道",0,1,0,0,1,66,66,66,1,0,1,1,0,0,1,1
"2012/10/14","野洲市長選挙","野洲市","滋賀県",0,1,0,0,1,61,61,61,1,0,0,0,0,0,1,1
"2012/10/14","飯田市長選挙","飯田市","長野県",0,1,0,0,1,51,51,51,1,0,0,0,0,0,1,1
"2012/10/21","いの町長選挙","いの町","高知県",0,1,0,0,2,62,62,62,1,0,0,0,0,0,1,2
"2012/10/21","世羅町議会議員選挙","世羅町","広島県",1,0,0,0,15,64,52,63.2142857142857,13,1,0.428571428571429,0.428571428571429,0.0714285714285714,0.0714285714285714,0.857142857142857,15
"2012/10/21","世羅町長選挙","世羅町","広島県",0,1,0,0,1,49,49,49,1,0,1,0,0,0,1,3
"2012/10/21","中山町長選挙","中山町","山形県",0,1,0,0,1,64,64,64,1,0,0,0,0,0,1,1
"2012/10/21","伊豆市議会議員選挙","伊豆市","静岡県",1,0,0,0,22,63,49,61.75,15,1,0.5625,0.375,0.0625,0.0625,0.875,22
"2012/10/21","入間市長選挙","入間市","埼玉県",0,1,0,0,3,60,60,60,1,0,1,0,0,0,1,3
"2012/10/21","太子町議会議員選挙","太子町","大阪府",1,0,0,0,16,62,40,57.7272727272727,10,1,0.181818181818182,0.363636363636364,0.0909090909090909,0.181818181818182,0.727272727272727,16
"2012/10/21","姶良市議会議員補欠選挙（加治木選挙区）","姶良市","鹿児島県",1,0,1,0,2,64.5,64,64.5,2,0,1,0.5,0,0,1,2
"2012/10/21","安来市議会議員補欠選挙","安来市","島根県",1,0,1,0,4,64,60,65.5,3,1,0,0.5,0,0.25,0.75,4
"2012/10/21","安来市長選挙","安来市","島根県",0,1,0,0,2,67,67,67,1,0,0,1,0,0,1,2
"2012/10/21","宗像市議会議員選挙","宗像市","福岡県",1,0,0,0,25,55.5,39,56.2,14,6,0.35,0.35,0.1,0.15,0.65,25
"2012/10/21","岡崎市議会議員選挙","岡崎市","愛知県",1,0,0,0,45,56,36,54.2702702702703,32,5,0.324324324324324,0.0810810810810811,0.108108108108108,0.0540540540540541,0.756756756756757,45
"2012/10/21","岡崎市長選挙","岡崎市","愛知県",0,1,0,0,2,59,59,59,1,0,1,0,0,0,1,2
