"地域コード","年度","教育費.市町村財政.","歳出決算総額.市町村財政.","経常収支比率.市町村財政.","実質公債費比率.市町村財政.","小学校児童数","中学校生徒数","総人口","総人口.女.","X65歳以上人口","地域女性割合","地域65歳以上割合","児童生徒数","教育費シェア","児童生徒割合","ln教育費.市町村財政.","ln歳出決算総額.市町村財政.","ln総人口","ln総人口.女.","lnX65歳以上人口","ln児童生徒数","logit教育費シェア","政令指定都市","特別区","議員候補者数","議員年齢中央値","議員年齢最小値","議員年齢平均値","議員X65歳以上割合","議員新人割合","議員女性割合","議員自民公明割合","議員共産社民割合","議員無所属割合","議員選挙年","議員経過年度","議員間隔異常","首長候補者数","首長年齢中央値","首長年齢最小値","首長年齢平均値","首長X65歳以上割合","首長新人割合","首長女性割合","首長自民公明割合","首長共産社民割合","首長無所属割合","首長選挙年","首長経過年度","首長間隔異常","議会高齢化ギャップ","議会女性ギャップ"
"R01100",2016,86512433,911330611,94.7,3.7,89616,46721,1956563.8,1044336.2,495075.6,0.53376036089393,0.253033200348488,136337,0.0949298003992977,0.0696818575504668,18.2757986956774,20.6304162993774,14.4867003293521,13.8588920262353,13.1124657571619,11.8228923755999,-2.25487483402902,1,0,94,54,26,54.4411764705882,0.220588235294118,0.264705882352941,0.235294117647059,0.5,0.117647058823529,0.0588235294117647,0,1,0,5,59,59,59,0,1,0,0,0,0,0,1,0,-0.0324449650543705,-0.298466243246871
"R01100",2017,162101641,966533376,93.6,2.8,90138,45781,1960771.6,1046930.4,506617.2,0.533937966053772,0.258376447312884,135919,0.167714478387552,0.0693191394653003,18.9037341100353,20.6892263888669,14.488848627207,13.8613730119984,13.1355109678091,11.8198217563458,-1.60191255681457,1,0,94,54,26,54.4411764705882,0.220588235294118,0.264705882352941,0.235294117647059,0.5,0.117647058823529,0.0588235294117647,0,2,0,5,59,59,59,0,1,0,0,0,0,0,2,0,-0.0377882120187664,-0.298643848406713
"R01100",2018,155280172,978964290,95.6,2.2,90450,44899,1964979.4,1049524.6,518158.8,0.53411481056748,0.263696810256637,135349,0.15861678876969,0.068880620326096,18.8607416045009,20.7020057238336,14.49099231977,13.8638478577013,13.1580370379671,11.8156192950424,-1.66855605793299,1,0,94,54,26,54.4411764705882,0.220588235294118,0.264705882352941,0.235294117647059,0.5,0.117647058823529,0.0588235294117647,0,3,0,5,59,59,59,0,1,0,0,0,0,0,3,0,-0.0431085749625188,-0.298820692920421
"R01100",2019,150836898,992751320,95.3,2.1,90307,44540,1969187.2,1052118.8,529700.4,0.534290899311147,0.268994435876894,134847,0.151938249752214,0.0684785072744735,18.8317096653061,20.7159907576146,14.4931314267435,13.8663165936606,13.1800668426768,11.8119034971639,-1.71947926515562,1,0,87,52.5,31,54.0588235294118,0.191176470588235,0.25,0.323529411764706,0.529411764705882,0.147058823529412,0.0147058823529412,1,0,0,2,63,63,63,0,0,0,0,0,0,1,0,0,-0.0778179652886588,-0.210761487546441
"R01100",2020,158219320,1272707248,97.1,2.6,90071,44942,1973395,1054713,541242,0.534466237119279,0.274269469619615,135013,0.124317135970298,0.0684166119808756,18.8794927297351,20.9644121599252,14.4952659677038,13.8687792499686,13.2016217775891,11.8131337557474,-1.95216814923329,1,0,87,52.5,31,54.0588235294118,0.191176470588235,0.25,0.323529411764706,0.529411764705882,0.147058823529412,0.0147058823529412,0,1,0,2,63,63,63,0,0,0,0,0,0,0,1,0,-0.0830929990313799,-0.210936825354573
"R01100",2021,147080234,1281258738,93,2.7,89713,45601,1977602.8,1057307.2,552783.6,0.534640828785234,0.279522055692882,135314,0.114793546094825,0.0684232445463771,18.806488805367,20.9711088207302,14.4973959621021,13.871235856496,13.2227218838465,11.8153606727588,-2.04268563543193,1,0,87,52.5,31,54.0588235294118,0.191176470588235,0.25,0.323529411764706,0.529411764705882,0.147058823529412,0.0147058823529412,0,2,0,2,63,63,63,0,0,0,0,0,0,0,2,0,-0.0883455851046473,-0.211111417020528
"R01202",2016,11206716,139390594,88.9,7.5,11022,6249,263000,143906.2,86596.2,0.547171863117871,0.329263117870722,17271,0.0803979356024554,0.0656692015209125,16.2320237994085,18.7527905791218,12.4799093111599,11.8769169774233,11.3690112136802,9.75684197219464,-2.43695253850402,0,0,33,60,36,59.5,0.333333333333333,0.133333333333333,0.3,0.3,0.1,0.433333333333333,0,1,0,2,65,65,65,1,0,0,0,0,1,0,1,0,0.00407021546261055,-0.247171863117871
"R01202",2017,14812227,140296035,91.3,7.9,10781,6126,260021,142209.4,87261.4,0.546915056860792,0.33559366358871,16907,0.10557837218992,0.0650216713265467,16.51096354631,18.7592652838038,12.4685176759668,11.8650558982453,11.3766634905553,9.73554216168668,-2.13672374198197,0,0,33,60,36,59.5,0.333333333333333,0.133333333333333,0.3,0.3,0.1,0.433333333333333,0,2,0,2,65,65,65,1,0,0,0,0,1,0,2,0,-0.00226033025537714,-0.246915056860792
"R01202",2018,12779065,132508493,93.3,8.1,10657,5917,257042,140512.6,87926.6,0.54665229806802,0.34207094560422,16574,0.0964395919890207,0.0644797348293275,16.3633188430479,18.7021572994496,12.4569947746496,11.8530524434503,11.3842576545039,9.71565081505406,-2.23742614521787,0,0,33,60,36,59.5,0.333333333333333,0.133333333333333,0.3,0.3,0.1,0.433333333333333,0,3,0,2,65,65,65,1,0,0,0,0,1,0,3,0,-0.00873761227088737,-0.24665229806802
"R01202",2019,15551107,136199691,93.1,7.3,10347,5758,254063,138815.8,88591.8,0.546383377351287,0.348700125559408,16105,0.114178724531761,0.0633897891467864,16.5596423837663,18.7296326829546,12.445337546742,11.8409031534294,11.39179458152,9.68694715235549,-2.0487502297725,0,0,33,63,40,61.3703703703704,0.407407407407407,0.111111111111111,0.333333333333333,0.296296296296296,0.111111111111111,0.296296296296296,1,0,0,2,69,69,69,1,0,0,0,0,1,1,0,0,0.0587072818479985,-0.213050044017954
"R01202",2020,14606430,165232192,93.5,6.4,10263,5556,251084,137119,89257,0.54610807538513,0.355486610058785,15819,0.088399420374451,0.0630028197734623,16.496972400685,18.9228622668952,12.4335428234819,11.8286044409229,11.3992751279389,9.66903024132164,-2.33333652043253,0,0,33,63,40,61.3703703703704,0.407407407407407,0.111111111111111,0.333333333333333,0.296296296296296,0.111111111111111,0.296296296296296,0,1,0,2,69,69,69,1,0,0,0,0,1,0,1,0,0.0519207973486219,-0.212774742051797
"R01202",2021,11623138,142484781,91.2,5.1,9887,5565,248105,135422.2,89922.2,0.545826162310312,0.362436065375547,15452,0.0815745928682727,0.0622800830293626,16.2685083245658,18.7747457519695,12.4216073226409,11.8161525846616,11.4067001310204,9.64555843823369,-2.421142838164,0,0,33,63,40,61.3703703703704,0.407407407407407,0.111111111111111,0.333333333333333,0.296296296296296,0.111111111111111,0.296296296296296,0,2,0,2,69,69,69,1,0,0,0,0,1,0,2,0,0.0449713420318604,-0.212492828976979
"R01203",2016,4208678,59172360,99.3,8.3,4548,2728,119799,65783.8,45277.2,0.549118106161153,0.377943054616483,7276,0.0711257418159424,0.0607350645664822,15.252659142094,17.8959650989344,11.6935706173832,11.0941288863932,10.7205588735092,8.89247396834709,-2.56952405571796,0,0,28,57,28,52.2,0.12,0.28,0.16,0.48,0.2,0.12,0,1,0,3,42,42,42,0,1,0,0,0,1,0,1,0,-0.257943054616483,-0.389118106161153
"R01203",2017,4108367,57105770,99.5,7.9,4470,2555,117674,64628.6,45314.4,0.549217329231606,0.385084215714601,7025,0.0719431153804598,0.0596988289681663,15.2285361839175,17.860415720309,11.6756733682515,11.0764123162553,10.7213801417524,8.85737283282577,-2.55721728639835,0,0,28,57,28,52.2,0.12,0.28,0.16,0.48,0.2,0.12,0,2,0,3,42,42,42,0,1,0,0,0,1,0,2,0,-0.265084215714601,-0.389217329231606
"R01203",2018,2850697,55512473,97.7,7.9,4351,2405,115549,63473.4,45351.6,0.549320201819142,0.39248803537893,6756,0.0513523690432599,0.0584687015898017,14.8630740837481,17.8321182922054,11.6574499614029,11.0583761994809,10.7222007360676,8.81833428355217,-2.91632635350373,0,0,28,57,28,52.2,0.12,0.28,0.16,0.48,0.2,0.12,0,3,0,4,60,60,60,0,1,0,1,0,0,1,0,1,-0.27248803537893,-0.389320201819142
"R01203",2019,3761144,56282977,99.4,7.5,4209,2307,113424,62318.2,45388.8,0.549426929044999,0.400169276343631,6516,0.066825605191424,0.057448159119763,15.140233724409,17.8459026850446,11.6388882880948,11.0400087969439,10.7230206575597,8.78216942633238,-2.63650578337098,0,0,29,56,25,52.32,0.2,0.24,0.16,0.52,0.2,0.12,1,0,0,4,60,60,60,0,1,0,1,0,0,0,1,0,-0.200169276343631,-0.389426929044999
"R01203",2020,4343681,72124848,96.9,6.8,4101,2276,111299,61163,45426,0.549537731695703,0.408143828785524,6377,0.0602244735406583,0.0572961122741444,15.284232703277,18.093909175338,11.6199755524973,11.0212977105078,10.7238399073314,8.76060984757,-2.74756223818625,0,0,29,56,25,52.32,0.2,0.24,0.16,0.52,0.2,0.12,0,1,0,4,60,60,60,0,1,0,1,0,0,0,2,0,-0.208143828785524,-0.389537731695702
"R01203",2021,3670883,66291831,91.6,5.7,3947,2211,109174,60007.8,45463.2,0.549652847747632,0.416428820048729,6158,0.0553745905736108,0.0564053712422372,15.1159427905464,18.0095772348951,11.6006982187057,11.002229832755,10.7246584864822,8.72566970568704,-2.8366676221348,0,0,29,56,25,52.32,0.2,0.24,0.16,0.52,0.2,0.12,0,2,0,4,60,60,60,0,1,0,1,0,0,0,3,0,-0.216428820048729,-0.389652847747632
