市区町村,種別,日付,候補者数,年齢中央値,年齢最小値,男性,女性,新人割合,65歳以上割合,自民+公明割合,共産+社民割合,無所属割合
あきる野市,議員,2013/6/23,21,60.0,35.0,0,0,0.19047619047619047,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.5238095238095238
あきる野市,議員,2017/6/11,21,52.0,39.0,15,6,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.5714285714285714
あきる野市,首長,2015/10/4,1,66.0,66.0,1,0,1.0,1.0,0.0,0.0,1.0
あきる野市,首長,2019/10/6,1,62.0,62.0,1,0,1.0,0.0,0.0,0.0,1.0
あさぎり町,議員,2012/4/22,16,59.5,50.0,14,2,0.3125,0.0625,0.0,0.0,1.0
あさぎり町,議員,2016/4/24,16,61.0,42.0,13,3,0.125,0.1875,0.0,0.0,1.0
あさぎり町,議員,2020/4/26,14,63.5,53.0,11,3,0.07142857142857142,0.42857142857142855,0.0,0.0,1.0
あさぎり町,首長,2015/4/26,1,67.0,67.0,1,0,0.0,1.0,0.0,0.0,1.0
あさぎり町,首長,2019/4/21,1,69.0,69.0,1,0,1.0,1.0,0.0,0.0,1.0
あま市,議員,2015/4/26,24,60.5,38.0,23,1,0.2916666666666667,0.3333333333333333,0.125,0.08333333333333333,0.7916666666666666
あま市,議員,2019/4/21,22,57.0,32.0,20,2,0.18181818181818182,0.18181818181818182,0.13636363636363635,0.09090909090909091,0.7727272727272727
あま市,首長,2014/4/13,1,51.0,51.0,1,0,0.0,0.0,0.0,0.0,1.0
あま市,首長,2018/4/22,1,55.0,55.0,1,0,0.0,0.0,0.0,0.0,1.0
あわら市,議員,2013/6/16,18,64.5,43.0,17,1,0.16666666666666666,0.5,0.05555555555555555,0.05555555555555555,0.8888888888888888
あわら市,議員,2017/6/18,18,68.0,47.0,16,2,0.16666666666666666,0.7222222222222222,0.05555555555555555,0.05555555555555555,0.8888888888888888
