地域コード,都道府県,市区町村
R01100,北海道,札幌市
R01202,北海道,函館市
R01203,北海道,小樽市
R01204,北海道,旭川市
R01205,北海道,室蘭市
R01206,北海道,釧路市
R01207,北海道,帯広市
R01208,北海道,北見市
R01209,北海道,夕張市
R01210,北海道,岩見沢市
R01211,北海道,網走市
R01212,北海道,留萌市
R01213,北海道,苫小牧市
R01214,北海道,稚内市
R01215,北海道,美唄市
R01216,北海道,芦別市
R01217,北海道,江別市
R01218,北海道,赤平市
R01219,北海道,紋別市
R01220,北海道,士別市
R01221,北海道,名寄市
R01222,北海道,三笠市
R01223,北海道,根室市
R01224,北海道,千歳市
R01225,北海道,滝川市
R01226,北海道,砂川市
R01227,北海道,歌志内市
R01228,北海道,深川市
R01229,北海道,富良野市
R01230,北海道,登別市
R01231,北海道,恵庭市
R01233,北海道,伊達市
R01234,北海道,北広島市
R01235,北海道,石狩市
R01236,北海道,北斗市
R01303,北海道,当別町
R01304,北海道,新篠津村
R01331,北海道,松前町
R01332,北海道,福島町
R01333,北海道,知内町
R01334,北海道,木古内町
R01337,北海道,七飯町
R01343,北海道,鹿部町
R01345,北海道,森町
R01346,北海道,八雲町
R01347,北海道,長万部町
R01361,北海道,江差町
R01362,北海道,上ノ国町
R01363,北海道,厚沢部町
R01364,北海道,乙部町
R01367,北海道,奥尻町
R01370,北海道,今金町
R01371,北海道,せたな町
R01391,北海道,島牧村
R01392,北海道,寿都町
R01393,北海道,黒松内町
R01394,北海道,蘭越町
R01395,北海道,ニセコ町
R01396,北海道,真狩村
R01397,北海道,留寿都村
R01398,北海道,喜茂別町
R01399,北海道,京極町
R01400,北海道,倶知安町
R01401,北海道,共和町
R01402,北海道,岩内町
R01403,北海道,泊村
R01404,北海道,神恵内村
R01405,北海道,積丹町
R01406,北海道,古平町
R01407,北海道,仁木町
R01408,北海道,余市町
R01409,北海道,赤井川村
R01423,北海道,南幌町
R01424,北海道,奈井江町
R01425,北海道,上砂川町
R01427,北海道,由仁町
R01428,北海道,長沼町
R01429,北海道,栗山町
R01430,北海道,月形町
R01431,北海道,浦臼町
R01432,北海道,新十津川町
R01433,北海道,妹背牛町
R01434,北海道,秩父別町
R01436,北海道,雨竜町
R01437,北海道,北竜町
R01438,北海道,沼田町
R01452,北海道,鷹栖町
R01453,北海道,東神楽町
R01454,北海道,当麻町
R01455,北海道,比布町
R01456,北海道,愛別町
R01457,北海道,上川町
R01458,北海道,東川町
R01459,北海道,美瑛町
R01460,北海道,上富良野町
R01461,北海道,中富良野町
R01462,北海道,南富良野町
R01463,北海道,占冠村
R01464,北海道,和寒町
R01465,北海道,剣淵町
R01468,北海道,下川町
R01469,北海道,美深町
R01470,北海道,音威子府村
R01471,北海道,中川町
R01472,北海道,幌加内町
R01481,北海道,増毛町
R01482,北海道,小平町
R01483,北海道,苫前町
R01484,北海道,羽幌町
R01485,北海道,初山別村
R01486,北海道,遠別町
R01487,北海道,天塩町
R01511,北海道,猿払村
R01512,北海道,浜頓別町
R01513,北海道,中頓別町
R01514,北海道,枝幸町
R01516,北海道,豊富町
R01517,北海道,礼文町
R01518,北海道,利尻町
R01519,北海道,利尻富士町
R01520,北海道,幌延町
R01543,北海道,美幌町
R01544,北海道,津別町
R01545,北海道,斜里町
R01546,北海道,清里町
R01547,北海道,小清水町
R01549,北海道,訓子府町
R01550,北海道,置戸町
R01552,北海道,佐呂間町
R01555,北海道,遠軽町
R01559,北海道,湧別町
R01560,北海道,滝上町
R01561,北海道,興部町
R01562,北海道,西興部村
R01563,北海道,雄武町
R01564,北海道,大空町
R01571,北海道,豊浦町
R01575,北海道,壮瞥町
R01578,北海道,白老町
R01581,北海道,厚真町
R01584,北海道,洞爺湖町
R01585,北海道,安平町
R01586,北海道,むかわ町
R01601,北海道,日高町
R01602,北海道,平取町
R01604,北海道,新冠町
R01607,北海道,浦河町
R01608,北海道,様似町
R01609,北海道,えりも町
R01610,北海道,新ひだか町
R01631,北海道,音更町
R01632,北海道,士幌町
R01633,北海道,上士幌町
R01634,北海道,鹿追町
R01635,北海道,新得町
R01636,北海道,清水町
R01637,北海道,芽室町
R01638,北海道,中札内村
R01639,北海道,更別村
R01641,北海道,大樹町
R01642,北海道,広尾町
R01643,北海道,幕別町
R01644,北海道,池田町
R01645,北海道,豊頃町
R01646,北海道,本別町
R01647,北海道,足寄町
R01648,北海道,陸別町
R01649,北海道,浦幌町
R01661,北海道,釧路町
R01662,北海道,厚岸町
R01663,北海道,浜中町
R01664,北海道,標茶町
R01665,北海道,弟子屈町
R01667,北海道,鶴居村
R01668,北海道,白糠町
R01691,北海道,別海町
R01692,北海道,中標津町
R01693,北海道,標津町
R01694,北海道,羅臼町
R02201,青森県,青森市
R02202,青森県,弘前市
R02203,青森県,八戸市
R02204,青森県,黒石市
R02205,青森県,五所川原市
R02206,青森県,十和田市
R02207,青森県,三沢市
R02208,青森県,むつ市
R02209,青森県,つがる市
R02210,青森県,平川市
R02301,青森県,平内町
R02303,青森県,今別町
R02304,青森県,蓬田村
R02307,青森県,外ヶ浜町
R02321,青森県,鰺ヶ沢町
R02323,青森県,深浦町
R02343,青森県,西目屋村
R02361,青森県,藤崎町
R02362,青森県,大鰐町
R02367,青森県,田舎館村
R02381,青森県,板柳町
R02384,青森県,鶴田町
R02387,青森県,中泊町
R02401,青森県,野辺地町
R02402,青森県,七戸町
R02405,青森県,六戸町
R02406,青森県,横浜町
R02408,青森県,東北町
R02411,青森県,六ヶ所村
R02412,青森県,おいらせ町
R02423,青森県,大間町
R02424,青森県,東通村
R02425,青森県,風間浦村
R02426,青森県,佐井村
R02441,青森県,三戸町
R02442,青森県,五戸町
R02443,青森県,田子町
R02445,青森県,南部町
R02446,青森県,階上町
R02450,青森県,新郷村
R03201,岩手県,盛岡市
R03202,岩手県,宮古市
R03203,岩手県,大船渡市
R03205,岩手県,花巻市
R03206,岩手県,北上市
R03207,岩手県,久慈市
R03208,岩手県,遠野市
R03209,岩手県,一関市
R03210,岩手県,陸前高田市
R03211,岩手県,釜石市
R03213,岩手県,二戸市
R03214,岩手県,八幡平市
R03215,岩手県,奥州市
R03216,岩手県,滝沢市
R03301,岩手県,雫石町
R03302,岩手県,葛巻町
R03303,岩手県,岩手町
R03321,岩手県,紫波町
R03322,岩手県,矢巾町
R03366,岩手県,西和賀町
R03381,岩手県,金ケ崎町
R03402,岩手県,平泉町
R03441,岩手県,住田町
R03461,岩手県,大槌町
R03482,岩手県,山田町
R03483,岩手県,岩泉町
R03484,岩手県,田野畑村
R03485,岩手県,普代村
R03501,岩手県,軽米町
R03503,岩手県,野田村
R03506,岩手県,九戸村
R03507,岩手県,洋野町
R03524,岩手県,一戸町
R04100,宮城県,仙台市
R04202,宮城県,石巻市
R04203,宮城県,塩竈市
R04205,宮城県,気仙沼市
R04206,宮城県,白石市
R04207,宮城県,名取市
R04208,宮城県,角田市
R04209,宮城県,多賀城市
R04211,宮城県,岩沼市
R04212,宮城県,登米市
R04213,宮城県,栗原市
R04214,宮城県,東松島市
R04215,宮城県,大崎市
R04216,宮城県,富谷市
R04301,宮城県,蔵王町
R04302,宮城県,七ヶ宿町
R04321,宮城県,大河原町
