投票日,告示日,選挙名,都道府県,detail_url,定数,候補者数,執行理由,有権者数,投票率,前回投票率,得票数,氏名,年齢,性別,党派,新旧,主な肩書き,elected
2021-12-26,2021-12-21,土庄町議会議員補欠選挙,香川県,https://seijiyama.jp/area/card/3624/G6ru37/M?S=lcqdt0lckil0k,3,4,辞職,"11,619",73.61%,73.15%,2891,井藤 茂信,57,男,無所属,新,土地家屋調査士,True
2021-12-26,2021-12-21,土庄町議会議員補欠選挙,香川県,https://seijiyama.jp/area/card/3624/G6ru37/M?S=lcqdt0lckil0k,3,4,辞職,"11,619",73.61%,73.15%,2790,小川 務,42,男,無所属,新,特定行政書士,True
2021-12-26,2021-12-21,土庄町議会議員補欠選挙,香川県,https://seijiyama.jp/area/card/3624/G6ru37/M?S=lcqdt0lckil0k,3,4,辞職,"11,619",73.61%,73.15%,1256,大野 一行,75,男,無所属,新,無職,True
2021-12-26,2021-12-21,土庄町議会議員補欠選挙,香川県,https://seijiyama.jp/area/card/3624/G6ru37/M?S=lcqdt0lckil0k,3,4,辞職,"11,619",73.61%,73.15%,1078,岡本 真澄,32,男,無所属,新,株式会社イシイ社員,False
2021-12-26,2021-12-21,土庄町長選挙,香川県,https://seijiyama.jp/area/card/3624/I5uf8D/M?S=lcqdt0lbrem0k,1,5,任期満了,"11,619",73.66%,,3789,岡野 能之,50,男,無所属,新,（有）おか乃や製麺代表取締役、元町議,True
2021-12-26,2021-12-21,土庄町長選挙,香川県,https://seijiyama.jp/area/card/3624/I5uf8D/M?S=lcqdt0lbrem0k,1,5,任期満了,"11,619",73.66%,,1859,三枝 邦彦,63,男,無所属,現,土庄町長,False
2021-12-26,2021-12-21,土庄町長選挙,香川県,https://seijiyama.jp/area/card/3624/I5uf8D/M?S=lcqdt0lbrem0k,1,5,任期満了,"11,619",73.66%,,1411,茂木 邦夫,35,男,無所属,新,前土庄町議会議員,False
2021-12-26,2021-12-21,土庄町長選挙,香川県,https://seijiyama.jp/area/card/3624/I5uf8D/M?S=lcqdt0lbrem0k,1,5,任期満了,"11,619",73.66%,,951,大峯 茂樹,73,男,無所属,新,会社役員,False
2021-12-26,2021-12-21,土庄町長選挙,香川県,https://seijiyama.jp/area/card/3624/I5uf8D/M?S=lcqdt0lbrem0k,1,5,任期満了,"11,619",73.66%,,388,岡本 経治,59,男,無所属,新,自営業、元町議,False
2021-12-26,2021-12-19,東久留米市長選挙,東京都,https://seijiyama.jp/area/card/3624/4g7Ka8/M?S=lcqdt0lbrel0k,1,3,任期満了,"97,143",39.08%,37.05%,15922,富田 竜馬,44,男,無所属（自民、公明推薦）,新,無職、元市議,True
2021-12-26,2021-12-19,東久留米市長選挙,東京都,https://seijiyama.jp/area/card/3624/4g7Ka8/M?S=lcqdt0lbrel0k,1,3,任期満了,"97,143",39.08%,37.05%,12820,細谷 祥子,67,女,無所属（都民ファーストの会推薦）,新,無職、元都議,False
2021-12-26,2021-12-19,東久留米市長選挙,東京都,https://seijiyama.jp/area/card/3624/4g7Ka8/M?S=lcqdt0lbrel0k,1,3,任期満了,"97,143",39.08%,37.05%,8800,篠原 重信,70,男,無所属（共産、社民推薦）,新,政党職員、元市議,False
2021-12-19,2021-12-14,麻績村長選挙,長野県,https://seijiyama.jp/area/card/3624/FjEH94/M?S=lcqdt0lbrdr0k,1,2,任期満了,"2,275",79.65%,,977,塚原 勝幸,69,男,無所属,新,農業,True
2021-12-19,2021-12-14,麻績村長選挙,長野県,https://seijiyama.jp/area/card/3624/FjEH94/M?S=lcqdt0lbrdr0k,1,2,任期満了,"2,275",79.65%,,814,小瀬 佳彦,57,男,無所属,新,自営業（造園業）,False
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1879,井田 孝,57,男,無所属,現,会社役員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1693,常世田 正樹,48,男,無所属,新,農業,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1648,木内 欽市,68,男,無所属,現,農業,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1543,伊場 哲也,66,男,無所属,新,教育コンサルタント,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1474,宮沢 芳雄,66,男,無所属,現,市議会議員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1341.502,伊藤 春美,54,女,公明,新,会社員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1326.497,伊藤 房代,63,女,公明,現,市議会議員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1296,永井 孝佳,43,男,無所属,現,理容師,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1250,崎山 華英,32,女,無所属,現,会計事務所職員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1240,向後 悦世,70,男,無所属,現,農業,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1185,宮内 保,72,男,無所属,現,農業,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1135,島田 恒,63,男,無所属,現,市議会議員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1059,片桐 文夫,62,男,無所属,現,団体職員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,1021,林 晴道,44,男,無所属,現,会社員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,963,景山 岩三郎,71,男,無所属,現,観光物産協会矢指支部長,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,942,飯嶋 正利,57,男,無所属,現,農業,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,874,戸村 ひとみ,64,女,無所属,新,会社役員、元浦安市議,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,840,菅谷 道晴,59,男,無所属,新,会社役員,True
2021-12-19,2021-12-12,旭市議会議員選挙,千葉県,https://seijiyama.jp/area/card/3624/K7Y97C/M?S=lcqdt0lbrdn0k,20,24,任期満了,"53,536",50.22%,50.77%,809,松木 源太郎,82,男,共産,元,無職,True
