"地域コード","都道府県","市区町村","地域","投票日","選挙名","議会議員","首長","補欠選挙","再選挙","政令指定都市","候補者数","年齢中央値","年齢最小値","年齢平均値","X65歳以上割合","新人割合","女性割合","自民公明割合","共産社民割合","無所属割合"
"R01100","北海道","札幌市","北海道",2015-04-12,"札幌市議会議員選挙",1,0,0,0,1,94,54,26,54.4411764705882,0.220588235294118,0.264705882352941,0.235294117647059,0.5,0.117647058823529,0.0588235294117647
"R01100","北海道","札幌市","北海道",2015-04-12,"札幌市長選挙",0,1,0,0,1,5,59,59,59,0,1,0,0,0,0
"R01100","北海道","札幌市","北海道",2019-04-07,"札幌市議会議員選挙",1,0,0,0,1,87,52.5,31,54.0588235294118,0.191176470588235,0.25,0.323529411764706,0.529411764705882,0.147058823529412,0.0147058823529412
"R01100","北海道","札幌市","北海道",2019-04-07,"札幌市長選挙",0,1,0,0,1,2,63,63,63,0,0,0,0,0,0
"R01202","北海道","函館市","北海道",2015-04-26,"函館市議会議員選挙",1,0,0,0,0,33,60,36,59.5,0.333333333333333,0.133333333333333,0.3,0.3,0.1,0.433333333333333
"R01202","北海道","函館市","北海道",2015-04-26,"函館市長選挙",0,1,0,0,0,2,65,65,65,1,0,0,0,0,1
"R01202","北海道","函館市","北海道",2019-04-21,"函館市議会議員選挙",1,0,0,0,0,33,63,40,61.3703703703704,0.407407407407407,0.111111111111111,0.333333333333333,0.296296296296296,0.111111111111111,0.296296296296296
"R01202","北海道","函館市","北海道",2019-04-21,"函館市長選挙",0,1,0,0,0,2,69,69,69,1,0,0,0,0,1
"R01203","北海道","小樽市","北海道",2015-04-26,"小樽市議会議員選挙",1,0,0,0,0,28,57,28,52.2,0.12,0.28,0.16,0.48,0.2,0.12
"R01203","北海道","小樽市","北海道",2015-04-26,"小樽市長選挙",0,1,0,0,0,3,42,42,42,0,1,0,0,0,1
"R01203","北海道","小樽市","北海道",2018-08-26,"小樽市長選挙",0,1,0,0,0,4,60,60,60,0,1,0,1,0,0
