"","平均","標準偏差","最小値","第1四分位","中央値","第3四分位","最大値"
"ln教育費.市町村財政.",14.234,1.257,10.84,13.324,14.155,15.027,19.622
"logit教育費シェア",-2.208,0.384,-4.662,-2.444,-2.214,-1.977,-0.289
"議員X65歳以上割合",0.403,0.183,0,0.267,0.4,0.5,1
"議会高齢化ギャップ",0.066,0.166,-0.489,-0.056,0.055,0.177,0.693
"議員女性割合",0.125,0.094,0,0.062,0.111,0.179,0.5
"議会女性ギャップ",-0.39,0.095,-0.562,-0.455,-0.403,-0.335,-0.012
"議員新人割合",0.235,0.116,0,0.154,0.222,0.3,0.917
"首長X65歳以上割合",0.434,0.496,0,0,0,1,1
"首長女性割合",0.018,0.135,0,0,0,0,1
"首長新人割合",0.32,0.467,0,0,0,1,1
"ln総人口",10.067,1.507,5.119,8.992,10.107,11.059,15.147
"地域65歳以上割合",0.337,0.077,0.13,0.281,0.334,0.388,0.665
"地域女性割合",0.514,0.018,0.362,0.506,0.516,0.526,0.562
"経常収支比率.市町村財政.",89.133,6.564,39.4,85.4,89.8,93.7,117.5
"ln児童生徒数",7.443,1.59,2.398,6.349,7.49,8.536,12.545
"児童生徒割合",0.074,0.015,0.009,0.066,0.074,0.082,0.175
