投票日,告示日,選挙名,都道府県,detail_url,定数,候補者数,執行理由,有権者数,投票率,前回投票率,得票数,氏名,年齢,性別,党派,新旧,主な肩書き,elected
2022-03-27,2022-03-20,市川市議会議員補欠選挙,千葉県,https://seijiyama.jp/area/card/3624/k5jza8/M?S=lcqdt0lcsan0k,1,6,死去,"400,508",38.72%,33.23%,40067,佐藤 ゆきの,37,女,無所属,新,個人事業主,True
2022-03-27,2022-03-20,市川市議会議員補欠選挙,千葉県,https://seijiyama.jp/area/card/3624/k5jza8/M?S=lcqdt0lcsan0k,1,6,死去,"400,508",38.72%,33.23%,34611,石崎 英幸,52,男,無所属,元,無職,False
2022-03-27,2022-03-20,市川市議会議員補欠選挙,千葉県,https://seijiyama.jp/area/card/3624/k5jza8/M?S=lcqdt0lcsan0k,1,6,死去,"400,508",38.72%,33.23%,22854,加藤 圭一,37,男,無所属,新,会社員,False
2022-03-27,2022-03-20,市川市議会議員補欠選挙,千葉県,https://seijiyama.jp/area/card/3624/k5jza8/M?S=lcqdt0lcsan0k,1,6,死去,"400,508",38.72%,33.23%,19781,泉 聖二,53,男,共産,新,政党職員,False
2022-03-27,2022-03-20,市川市議会議員補欠選挙,千葉県,https://seijiyama.jp/area/card/3624/k5jza8/M?S=lcqdt0lcsan0k,1,6,死去,"400,508",38.72%,33.23%,11063,押切 裕雄,52,男,無所属,新,会社役員,False
2022-03-27,2022-03-20,市川市議会議員補欠選挙,千葉県,https://seijiyama.jp/area/card/3624/k5jza8/M?S=lcqdt0lcsan0k,1,6,死去,"400,508",38.72%,33.23%,4176,吉住 威典,79,男,無所属,新,無職,False
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,757,木原 泰代,64,女,無所属,新,菊池郡市医師会立病院 検診係 保健師,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,570,斉木 幸男,56,男,無所属,現,自営業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,559,坂本 敏彦,60,男,無所属,現,農業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,558,亀崎 清貴,39,男,無所属,新,農業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,489,秋丸 要一,72,男,無所属,現,会社役員,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,487,千々岩 繁,61,男,無所属,新,熊本県スポーツ振興事業団嘱託職員,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,486,荒木 宏太,37,男,無所属,現,自営業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,466,竹下 周三,60,男,無所属,現,会社役員,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,465,蒲池 恭一,55,男,無所属,現,農業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,415,高木 洋一郎,64,男,無所属,現,農業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,411,笹渕 賢吾,67,男,共産,元,農業,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,391,白木 淳,46,男,無所属,現,白木鈑金塗装社長,True
2022-03-27,2022-03-22,和水町議会議員選挙,熊本県,https://seijiyama.jp/area/card/3624/cknCg1/M?S=lcqdt0lcleq0k,12,13,任期満了,"8,223",79.18%,79.86%,378,池田 龍之介,70,男,無所属,現,無職,False
2022-03-27,2022-03-20,上田市議会議員選挙,長野県,https://seijiyama.jp/area/card/3624/aiWTBA/M?S=lcqdt0lclbr0k,30,31,任期満了,"127,348",52.74%,58.13%,4810,武田 紗知,33,女,無所属,新,自営業,True
